facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,phone_number
CATHOLIC CHARITIES,PSYCHC,349 CEDAR ST,SAN DIEGO,SAN DIEGO,CA,92101,0,32.721795,-117.16146,(619) 231-2828
PARADISE VALLEY HOSPITAL D/P APH,APH,2400 E 4TH ST,NATIONAL CITY,SAN DIEGO,CA,91950,39,32.684337,-117.082593,(619) 470-4321
SCRIPPS MERCY HOSPITAL D/P APH,APH,4077 5TH AVE,SAN DIEGO,SAN DIEGO,CA,92103,36,32.751306,-117.1600785,(619) 000-0000
PARADISE VALLEY HOSP D/P APH BAYVIEW BEHAVIORAL HEALTH,APH,330 MOSS ST,CHULA VISTA,SAN DIEGO,CA,91911,64,32.617539,-117.071334,(619) 426-6310
ADVENTIST HEALTH VALLEJO,APH,525 OREGON ST,VALLEJO,SOLANO,CA,94590,61,38.117781,-122.2491015,(707) 649-4002
RIVER COUNSELING,PSYCHC,19375 HIGHWAY 116,MONTE RIO,SONOMA,CA,95462,0,38.47800933,-122.997751,(707) 865-1200
MARINHEALTH MEDICAL CENTER D/P APH,APH,250 BON AIR RD,GREENBRAE,MARIN,CA,94904,17,37.947339,-122.5359045,(415) 461-0100
LOMI PSYCHOTHERAPY CLINIC,PSYCHC,534 B ST,SANTA ROSA,SONOMA,CA,95401,0,38.443077,-122.717538,(707) 579-0465
KERN MEDICAL CENTER D/P APH,APH,1700 MOUNT VERNON AVE,BAKERSFIELD,KERN,CA,93306,25,35.382438,-118.9707885,(661) 326-2000
GOOD SAMARITAN HOSPITAL D/P APH,APH,901 OLIVE DR,BAKERSFIELD,KERN,CA,93308,21,35.411724,-119.039733,(661) 399-4461
KAWEAH HEALTH MENTAL HEALTH HOSPITAL,APH,1100 S AKERS ST,VISALIA,TULARE,CA,93277,63,36.3205426,-119.350389,(559) 624-3300
ABSMC - HERRICK CAMPUS D/P APH,APH,2001 DWIGHT WAY,BERKELEY,ALAMEDA,CA,94704,68,37.864233,-122.268978,(650) 549-4430
CONTRA COSTA REGIONAL MEDICAL CENTER D/P APH,APH,2500 ALHAMBRA AVENUE,MARTINEZ,CONTRA COSTA,CA,94553,43,38.006865,-122.132898,(925) 370-5100
JOHN GEORGE PSYCHIATRIC HOSPITAL,APH,2060 FAIRMONT DRIVE,SAN LEANDRO,ALAMEDA,CA,94578,80,37.71072,-122.1202305,(510) 346-1300
FREMONT HOSPITAL,APH,39001 SUNDALE DRIVE,FREMONT,ALAMEDA,CA,94538,148,37.546461,-121.979835,(510) 796-1100
JOHN MUIR BEHAVIORAL HEALTH CENTER,APH,2740 GRANT STREET,CONCORD,CONTRA COSTA,CA,94520,73,37.98564534,-122.0384597,(925) 674-4159
PORTIA BELL HUME BEHAVIORAL HEALTH & TRAINING CENTER,PSYCHC,1333 WILLOW PASS RD,CONCORD,CONTRA COSTA,CA,94520,0,37.969776,-122.051943,(925) 825-1793
VALLEY MEMORIAL HOSPITAL D/P APH,APH,1111 E STANLEY BOULEVARD,LIVERMORE,ALAMEDA,CA,94550,14,37.67706,-121.78179,(925) 447-7000
LA CHEIM  BEHAVIORAL HEALTH SERVICES-OAKLAND,PSYCHC,3031 TELEGRAPH AVENUE,OAKLAND,ALAMEDA,CA,94609,0,37.819737,-122.2673985,(510) 596-8125
DEPARTMENT OF STATE HOSPITALS - NAPA,APH,2100 NAPA VALLEJO HWY,NAPA,NAPA,CA,94558,151,38.278035,-122.266836,(707) 253-5014
DEPARTMENT OF STATE HOSPITALS - ATASCADERO,APH,10333 EL CAMINO REAL,ATASCADERO,SAN LUIS OBISPO,CA,93422,311,35.46109506,-120.6443786,(805) 468-2000
DEPARTMENT OF STATE HOSPITALS - PATTON,APH,3102 E HIGHLAND AVE,PATTON,SAN BERNARDINO,CA,92369,427,34.13583857,-117.2195129,(909) 425-7407
DEPARTMENT OF STATE HOSPITALS - METROPOLITAN,APH,11401 SOUTH BLOOMFIELD AVE,NORWALK,LOS ANGELES,CA,90650,1004,33.92419547,-118.0640232,(562) 677-5724
LANGLEY PORTER PSYCHIATRIC INSTITUTE,APH,401 PARNASSUS AVE,SAN FRANCISCO,SAN FRANCISCO,CA,94143,56,37.76374687,-122.4567674,(415) 476-7000
ST. MARY'S MEDICAL CENTER D/P APH,APH,450 STANYAN ST,SAN FRANCISCO,SAN FRANCISCO,CA,94117,35,37.774062,-122.454189,(415) 668-1000
SAINT FRANCIS MEMORIAL HOSPITAL D/P APH,APH,900 HYDE ST,SAN FRANCISCO,SAN FRANCISCO,CA,94109,35,37.789632,-122.4165555,(415) 775-4321
CALIFORNIA PACIFIC MEDICAL CENTER - D/P APH,APH,2323 SACRAMENTO ST,SAN FRANCISCO,SAN FRANCISCO,CA,94115,18,37.789875,-122.4315135,(415) 563-4321
SAN MATEO MEDICAL CENTER D/P APH,APH,222 W 39TH AVE,SAN MATEO,SAN MATEO,CA,94403,34,37.531332,-122.2993665,(650) 573-2222
AHMC SETON MEDICAL CENTER D/P APH,APH,1900 SULLIVAN AVE,DALY CITY,SAN MATEO,CA,94015,24,37.680354,-122.474961,(650) 992-4000
JEWISH HOME & REHAB CENTER,APH,302 SILVER AVE,SAN FRANCISCO,SAN FRANCISCO,CA,94112,13,37.728261,-122.429952,(415) 469-2214
SAN FRANCISCO GENERAL HOSPITAL D/P APH,APH,1001 POTRERO AVE,SAN FRANCISCO,SAN FRANCISCO,CA,94110,83,37.756161,-122.4056655,(415) 206-8100
CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL D/P APH,APH,601 DUBOCE AVE,SAN FRANCISCO,SAN FRANCISCO,CA,94117,0,37.76905359,-122.4346773,(415) 565-6003
THE CHILDREN'S HEALTH COUNCIL,PSYCHC,650 CLARK WAY,PALO ALTO,SANTA CLARA,CA,94304,0,37.440315,-122.178492,(650) 688-3612
ENLOE MEDICAL CENTER - COHASSET D/P APH,APH,560 COHASSET RD,CHICO,BUTTE,CA,95926,30,39.752901,-121.8479445,(530) 332-7300
COMMUNITY HOSPITAL OF SAN BERNARDINO D/P APH,APH,1805 MEDICAL CENTER DR,SAN BERNARDINO,SAN BERNARDINO,CA,92411,74,34.13163171,-117.3225026,(909) 887-6333
REDLANDS COMMUNITY HOSPITAL D/P APH,APH,350 TERRACINA BLVD,REDLANDS,SAN BERNARDINO,CA,92373,18,34.036506,-117.2051775,(909) 335-5500
ARROWHEAD REGIONAL MEDICAL CENTER D/P APH,APH,400 N PEPPER AVE,COLTON,SAN BERNARDINO,CA,92324,90,34.07193214,-117.3527728,(909) 580-1000
LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,APH,1710 BARTON RD,REDLANDS,SAN BERNARDINO,CA,92373,89,34.049439,-117.214092,(909) 651-4271
CANYON RIDGE HOSPITAL,APH,5353 G ST,CHINO,SAN BERNARDINO,CA,91710,157,34.009074,-117.68805,(909) 590-3700
PACIFIC GROVE HOSPITAL,APH,5900 BROCKTON AVE,RIVERSIDE,RIVERSIDE,CA,92506,68,33.962283,-117.395316,(951) 275-8400
BARBARA SINATRA CHILDREN'S CENTER AT EISENHOWER,PSYCHC,39000 BOB HOPE DR,RANCHO MIRAGE,RIVERSIDE,CA,92270,0,33.764652,-116.40555,(760) 340-2336
RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER D/P APH,APH,9990 COUNTY FARM RD,RIVERSIDE,RIVERSIDE,CA,92503,77,33.9200671,-117.4580716,(951) 358-4700
CORONA REGIONAL MEDICAL CENTER D/P APH,APH,730 MAGNOLIA AVE,CORONA,RIVERSIDE,CA,92879,38,33.857991,-117.5538195,(951) 736-7264
DEPARTMENT OF STATE HOSPITALS - COALINGA,APH,24511 W JAYNE AVE,COALINGA,FRESNO,CA,93210,50,36.134613,-120.242133,(559) 935-4300
SHARP MESA VISTA HOSPITAL,APH,7850 VISTA HILL AVE,SAN DIEGO,SAN DIEGO,CA,92123,159,32.795613,-117.155196,(858) 278-4110
ROSE CITY COUNSELING CENTER,PSYCHC,595 E COLORADO BLVD,PASADENA,LOS ANGELES,CA,91101,0,34.146207,-118.1380455,(626) 793-8609
JOYCE EISENBERG KEEFER MEDICAL CENTER,APH,7150 TAMPA AVE,RESEDA,LOS ANGELES,CA,91335,10,34.200441,-118.5531345,(818) 774-3069
L.A. DOWNTOWN MEDICAL CENTER-D/P APH,APH,1711 W TEMPLE ST,LOS ANGELES,LOS ANGELES,CA,90026,29,34.068897,-118.263366,
"AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA, LLC",APH,1287 FULTON RD,SANTA ROSA,SONOMA,CA,95401,95,38.450376,-122.7719925,(707) 800-7700
MASONIC CENTER FOR YOUTH AND FAMILIES,PSYCHC,6 FUNSTON AVE,SAN FRANCISCO,SAN FRANCISCO,CA,94129,0,37.799487,-122.4559665,(877) 488-6293
WELL BABY CENTER,PSYCHC,12316 VENICE BLVD,LOS ANGELES,LOS ANGELES,CA,90066,0,34.003845,-118.4327505,(310) 402-2229
MILLS HEALTH CENTER D/P APH,APH,100 S. SAN MATEO DRIVE,SAN MATEO,SAN MATEO,CA,94401,60,37.565073,-122.326461,
RADY CHILDREN'S HOSPITAL - SAN DIEGO,APH,3020 CHILDRENS WAY,SAN DIEGO,SAN DIEGO,CA,92123,24,32.798322,-117.1520235,
SAN JOSE BEHAVIORAL HEALTH,APH,455 SILICON VALLEY BOULEVARD,SAN JOSE,SANTA CLARA,CA,95138,80,37.24837109,-121.7725608,(831) 620-0700
COLLEGE MEDICAL CENTER,APH,2776 PACIFIC AVE.,LONG BEACH,LOS ANGELES,CA,90806,0,33.80733,-118.193049,
BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL. LLC,APH,5201 WHITE LANE,BAKERSFIELD,KERN,CA,93309,90,35.316756,-119.060631,(661) 241-5506
CENTRAL VALLEY INDIAN HEALTH BEHAVIORAL HEALTH SERVICES,PSYCHC,255 W BULLARD AVE,CLOVIS,FRESNO,CA,93612,0,36.823239,-119.7144855,(559) 299-2435
"SOCIAL ADVOCATES FOR YOUTH, SAN DIEGO, INC.",PSYCHC,4775 VIEWRIDGE AVE,SAN DIEGO,SAN DIEGO,CA,92123,0,32.825259,-117.1204785,(858) 565-4148
"SACRAMENTO BEHAVIORAL HEALTHCARE HOSPITAL, LLC",APH,1400 EXPO PKWY,SACRAMENTO,SACRAMENTO,CA,95815,117,38.597067,-121.457286,(707) 478-3782
"ALISO RIDGE BEHAVIORAL HEALTH, LLC",APH,200 FREEDOM LN,ALISO VIEJO,ORANGE,CA,92656,119,33.562926,-117.7279245,(248) 839-5380
BHC ALHAMBRA HOSPITAL,APH,4619 ROSEMEAD BLVD,ROSEMEAD,LOS ANGELES,CA,91770,97,34.08876,-118.073889,(626) 286-1191
COLLEGE MEDICAL CENTER SOUTH CAMPUS D/P APH,APH,1725 PACIFIC AVE,LONG BEACH,LOS ANGELES,CA,90813,36,33.788475,-118.194129,(562) 599-3551
COLLEGE MEDICAL CENTER HAWTHORNE CAMPUS,APH,13300 HAWTHORNE BLVD,HAWTHORNE,LOS ANGELES,CA,90250,64,33.911649,-118.3518675,(424) 365-3000
MOTION PICTURE & TELEVISION HOSPITAL,APH,23388 MULHOLLAND DR,WOODLAND HILLS,LOS ANGELES,CA,91364,12,34.156458,-118.6351785,(818) 876-1043
KAISER FOUNDATION HOSP MENTAL HEALTH CTR D/P APH,APH,765 W COLLEGE ST,LOS ANGELES,LOS ANGELES,CA,90012,68,34.066206,-118.243395,(213) 580-7200
AURORA CHARTER OAK,APH,1161 E COVINA BLVD,COVINA,LOS ANGELES,CA,91724,134,34.100442,-117.867114,(626) 966-1632
AURORA LAS ENCINAS HOSPITAL,APH,2900 E DEL MAR BLVD,PASADENA,LOS ANGELES,CA,91107,118,34.140915,-118.091511,(626) 795-9901
DEL AMO HOSPITAL,APH,23700 CAMINO DEL SOL,TORRANCE,LOS ANGELES,CA,90505,166,33.811452,-118.3438305,(310) 530-1151
GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,APH,1891 EFFIE ST,LOS ANGELES,LOS ANGELES,CA,90026,55,34.084485,-118.256589,(323) 644-2000
RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,APH,150 MEDICAL PLAZA,LOS ANGELES,LOS ANGELES,CA,90095,74,34.06536361,-118.4458511,(310) 267-9092
TARZANA TREATMENT CENTER,APH,18646 OXNARD ST,TARZANA,LOS ANGELES,CA,91356,60,34.179471,-118.539765,(818) 654-3815
L.A. DOWNTOWN MEDICAL CENTER - INGLESIDE CAMPUS D/P APH,APH,7500 HELLMAN AVE,ROSEMEAD,LOS ANGELES,CA,91770,118,34.069338,-118.1057175,(626) 288-1160
SOUTHERN CALIFORNIA HOSPITAL AT VAN NUYS D/P APH,APH,14433 EMELITA ST,VAN NUYS,LOS ANGELES,CA,91401,59,34.176816,-118.447677,(818) 787-1511
KEDREN COMMUNITY MENTAL HEALTH CENTER,APH,4211 AVALON BLVD,LOS ANGELES,LOS ANGELES,CA,90011,72,34.007211,-118.2654315,(323) 553-1009
COLLEGE HOSPITAL,APH,10802 COLLEGE PL,CERRITOS,LOS ANGELES,CA,90703,187,33.884298,-118.1029275,(562) 924-9581
BROTMAN MEDICAL CENTER D/P APH,APH,3828 DELMAS TER,CULVER CITY,LOS ANGELES,CA,90232,103,34.023222,-118.3969305,(310) 836-7000
SAINT FRANCIS MEDICAL CENTER D/P APH,APH,3630 E IMPERIAL HWY,LYNWOOD,LOS ANGELES,CA,90262,40,33.929847,-118.2031065,(310) 603-6871
VISTA SPECIALTY HOSPITAL OF SAN GABRIEL VALLEY D/P,APH,14148 FRANCISQUITO AVE,BALDWIN PARK,LOS ANGELES,CA,91706,4,34.062876,-117.967608,(626) 338-1101
NORTHRIDGE HOSPITAL MEDICAL CENTER D/P APH,APH,18300 ROSCOE BLVD,NORTHRIDGE,LOS ANGELES,CA,91325,40,34.219998,-118.5329295,(818) 885-8500
ANTELOPE VALLEY HOSPITAL D/P APH,APH,1600 W AVENUE J,LANCASTER,LOS ANGELES,CA,93534,30,34.68935389,-118.1585617,(661) 949-5000
GLENDALE ADVENTIST MEDICAL CENTER D/P APH,APH,1509 WILSON TER,GLENDALE,LOS ANGELES,CA,91206,60,34.150779,-118.230615,(818) 409-8000
"EMANATE HEALTH INTER-COMMUNITY HOSPITAL, D/P APH",APH,210 W SAN BERNARDINO RD,COVINA,LOS ANGELES,CA,91723,30,34.08804,-117.893412,(626) 331-7331
SAN GABRIEL VALLEY MEDICAL CENTER D/P APH,APH,438 W LAS TUNAS DR,SAN GABRIEL,LOS ANGELES,CA,91776,42,34.100802,-118.1058795,(626) 289-5454
PACIFICA HOSPITAL OF THE VALLEY D/P APH,APH,9449 SAN FERNANDO RD,SUN VALLEY,LOS ANGELES,CA,91352,38,34.240077,-118.396485,(818) 767-3310
GLENDALE MEMORIAL HOSPITAL AND HEALTH CTR. D/P APH,APH,1420 S CENTRAL AVE,GLENDALE,LOS ANGELES,CA,91204,49,34.12840144,-118.2577489,(818) 502-1900
WHITE MEMORIAL MEDICAL CENTER D/P APH,APH,1720 E CESAR E CHAVEZ AVE,LOS ANGELES,LOS ANGELES,CA,90033,33,34.050735,-118.216962,(323) 268-5000
ENCINO HOSPITAL MEDICAL CENTER,APH,16237 VENTURA BLVD,ENCINO,LOS ANGELES,CA,91436,13,34.157448,-118.4870655,(818) 995-5000
HENRY MAYO NEWHALL MEMORIAL HOSPITAL D/P APH,APH,25727 MCBEAN PKWY,VALENCIA,LOS ANGELES,CA,91355,23,34.398918,-118.5526125,(661) 255-8100
BELLFLOWER MEDICAL CENTER D/P APH,APH,9542 ARTESIA BLVD,BELLFLOWER,LOS ANGELES,CA,90706,32,33.87468014,-118.1296831,(562) 925-8355
MARINA DEL REY HOSPITAL D/P APH,APH,4650 LINCOLN BLVD,MARINA DEL REY,LOS ANGELES,CA,90292,30,33.981741,-118.4400315,(310) 823-8911
PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER SAN PEDRO,APH,1300 W 7TH ST,SAN PEDRO,LOS ANGELES,CA,90732,25,33.738201,-118.3036185,(213) 832-3311
HUNTINGTON MEMORIAL HOSPITAL D/P APH,APH,100 W CALIFORNIA BLVD,PASADENA,LOS ANGELES,CA,91105,41,34.133418,-118.152207,(626) 397-5000
GLENDORA HOSPITAL,APH,150 W ROUTE 66,GLENDORA,LOS ANGELES,CA,91740,63,34.12862393,-117.8661314,(626) 852-5054
VERDUGO HILLS HOSPITAL D/P APH,APH,1812 VERDUGO BLVD,GLENDALE,LOS ANGELES,CA,91208,24,34.205526,-118.2168,(818) 790-7100
"SHERMAN OAKS HOSPITAL AND HEALTH CENTER, D/P APH",APH,4929 VAN NUYS BLVD,SHERMAN OAKS,LOS ANGELES,CA,91403,19,34.160256,-118.4488965,(818) 981-7111
MISSION COMMUNITY HOSPITAL-PANORAMA CAMPUS-D/P APH,APH,14850 ROSCOE BLVD,PANORAMA CITY,LOS ANGELES,CA,91402,60,34.220412,-118.456542,(818) 787-2222
THE GUIDANCE CENTER,PSYCHC,1301 PINE AVE,LONG BEACH,LOS ANGELES,CA,90813,0,33.78323144,-118.1924494,(562) 595-1159
THE MAPLE COUNSELING CENTER,PSYCHC,9107 WILSHIRE BLVD LOWR LEVEL,BEVERLY HILLS,LOS ANGELES,CA,90210,0,34.067385,-118.39032,(310) 271-9999
WRIGHT INSTITUTE LOS ANGELES CLINIC,PSYCHC,11845 W. OLYMPIC BLVD.,LOS ANGELES,LOS ANGELES,CA,90064,0,34.032906,-118.4517675,(424) 371-5191
C G JUNG INSTITUTE - KIEFFER E FRANTZ CLINIC,PSYCHC,10349 W PICO BLVD,LOS ANGELES,LOS ANGELES,CA,90064,0,34.04736,-118.4155785,(310) 556-1193
1736 FAMILY CRISIS CENTER,PSYCHC,21707 HAWTHORNE BLVD,TORRANCE,LOS ANGELES,CA,90503,0,33.830622,-118.353015,(310) 543-9900
1736 FAMILY CRISIS CENTER LOS ANGELES,PSYCHC,2116 ARLINGTON AVE,LOS ANGELES,LOS ANGELES,CA,90018,0,34.037406,-118.317474,(323) 737-3900
