,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,primary_care,nursing,pediatric,mental_health
818,LICENSED ONLY,,,50001293,OPEN,CA050001293,,,,,,Y,Y,0.0,,,,,SANTA BARBARA COTTAGE HOSPITAL - D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,20,400 W PUEBLO ST,SANTA BARBARA,93105,4353,,,,(805) 682-7111,520,SANTA BARBARA,5,VENTURA,N,50000280.0,DISTINCT PART,1-Jan-46,50000140.0,SANTA BARBARA COTTAGE HOSPITAL,ACTIVE,1-Jan-46,1-Mar-22,28-Feb-23,NONPROFIT CORP,34.4294868,-119.7231697,"(-119.7231697,34.429486796)",,42,SANTA BARBARA,6083,,,,,,15-Mar-22,False,False,False,True
974,LICENSED AND CERTIFIED,,,60000193,OPEN,CA06000193,054135,,5-Apr-94,21-Feb-18,1578554325,Y,Y,0.0,,,,,NEWPORT BAY HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,36,1501 E 16TH ST,NEWPORT BEACH,92663,5924,"PARKHURST, JAMES",AMYC@NEWPORTBAYHOSPITAL.COM,(949) 650-9751,(949) 395-1813,400,ORANGE,6,ORANGE,Y,,PARENT,,60000160.0,"BEACON HEALTHCARE SERVICES, INC.",ACTIVE,1-Jan-59,23-Feb-22,22-Feb-23,PROFIT CORP,33.622317,-117.9075015,"(-117.9075015,33.622317)",106301304.0,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
991,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000543,OPEN,CA060000015,050526,,1-Jan-70,8-Jan-18,1083622120,Y,Y,1.0,1.0,7/1/17 0:00,,JC,HUNTINGTON BEACH HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,49,17772 BEACH BLVD,HUNTINGTON BEACH,92647,6819,"BOTTICELLA, MARY",,,(714) 842-1473,400,ORANGE,6,ORANGE,N,60000015.0,DISTINCT PART,24-Jan-68,60000124.0,"PRIME HEALTHCARE HUNTINGTON BEACH, LLC",ACTIVE,24-Jan-68,30-Nov-21,29-Nov-22,LIMITED LIABILITY COMPANY,33.70365,-117.9865305,"(-117.9865305,33.70365)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
995,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000631,OPEN,CA060000038,050040,,15-Mar-72,21-Feb-18,1285845982,Y,Y,1.0,1.0,7/14/17 0:00,,JC,LOS ANGELES COUNTY OLIVE VIEW-UCLA MED CTR D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,52,14445 OLIVE VIEW DR,SYLMAR,91342,1437,"ANDERSON, MELINDA",,,(818) 364-1555,200,LOS ANGELES,6,ORANGE,N,60000038.0,DISTINCT PART,20-Nov-59,60000133.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,20-Nov-59,8-May-21,7-May-22,COUNTY,34.326981,-118.4517,"(-118.4517,34.326981)",,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
996,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000655,OPEN,CA060000074,050744,,8-Mar-05,,1790778488,Y,Y,1.0,1.0,11/15/14 0:00,,JC,ANAHEIM GLOBAL MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,90,1025 S ANAHEIM BLVD,ANAHEIM,92805,5806,"RAFFERTY, PATRICK",,,(714) 533-6220,400,ORANGE,6,ORANGE,N,60000074.0,DISTINCT PART,29-Dec-72,60000117.0,"ANAHEIM GLOBAL MEDICAL CENTER, INC.",ACTIVE,29-Dec-72,14-Jul-21,7-Mar-22,PROFIT CORP,33.819876,-117.909414,"(-117.909414,33.819876)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
997,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000673,OPEN,CA060000067,050069,,1-Jul-66,23-Sep-20,1912982216,Y,Y,1.0,1.0,3/7/20 0:00,,JC,ST. JOSEPH HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,37,1100 W STEWART DR,ORANGE,92868,3849,"NOCE JR., WALTER",,,(714) 633-9111,400,ORANGE,6,ORANGE,N,60000067.0,DISTINCT PART,27-Oct-64,60000172.0,ST. JOSEPH HOSPITAL OF ORANGE,ACTIVE,27-Oct-64,1-Jan-22,31-Dec-22,NONPROFIT CORP,33.782121,-117.864936,"(-117.864936,33.782121)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
998,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000690,OPEN,CA060000060,050567,,10-Aug-71,,1992752315,Y,Y,1.0,1.0,4/7/21 0:00,,JC,MISSION HOSPITAL LAGUNA BEACH D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,36,31872 COAST HWY,LAGUNA BEACH,92651,6773,"IRISH, GARY",,,(949) 499-1311,400,ORANGE,6,ORANGE,N,60000066.0,DISTINCT PART,30-Jun-59,60000146.0,MISSION HOSPITAL REGIONAL MEDICAL CENTER,ACTIVE,10-Aug-71,1-Dec-21,30-Nov-22,NONPROFIT CORP,33.500637,-117.74079,"(-117.74079,33.500637)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
999,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000697,OPEN,CA060000027,050376,,1-Jul-66,15-May-20,1487865184,Y,Y,1.0,1.0,12/14/19 0:00,,JC,LAC/HARBOR-UCLA MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,38,1000 W CARSON ST,TORRANCE,90502,2004,"MICKOSEFF, TECLA",,,(310) 222-2345,200,LOS ANGELES,6,ORANGE,N,60000027.0,DISTINCT PART,1-Jul-53,60000129.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1-Jul-53,1-May-21,30-Apr-22,COUNTY,33.829794,-118.294722,"(-118.294722,33.829794)",,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
1000,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000700,OPEN,CA060000040,050373,,1-Jul-66,4-Jan-18,1093728743,Y,Y,1.0,1.0,1/28/17 0:00,,JC,LAC+USC MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,76,1200 N STATE ST,LOS ANGELES,90033,1029,"RUNKE, DAVID",,,(323) 226-6853,200,LOS ANGELES,6,ORANGE,N,60000040.0,DISTINCT PART,1-Jul-53,60000130.0,LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,ACTIVE,1-Jul-53,1-Jan-22,31-Mar-22,COUNTY,34.059654,-118.208178,"(-118.208178,34.059654)",,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
1006,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000777,OPEN,CA060000008,050543,,1-Aug-76,7-Aug-19,1922039205,Y,Y,1.0,1.0,6/28/19 0:00,,JC,COLLEGE HOSPITAL COSTA MESA D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,99,301 VICTORIA ST,COSTA MESA,92627,1995,"LINGENFELTER, WAYNE",,,(949) 642-2734,400,ORANGE,6,ORANGE,N,60000008.0,DISTINCT PART,1-Sep-87,60000100.0,"CHCM, INC.",ACTIVE,1-Sep-87,1-Nov-21,31-Oct-22,PROFIT CORP,33.651855,-117.91206,"(-117.91206,33.651855)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
1026,LICENSED AND CERTIFIED,USE PARENT MATCH,,60000944,OPEN,CA060000024,050580,,30-May-72,4-Jan-18,1417965559,Y,Y,1.0,1.0,4/13/17 0:00,,JC,LA PALMA INTERCOMMUNITY HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,23,7901 WALKER ST,LA PALMA,90623,1722,"KERR, MICHAEL",,,(714) 670-7400,400,ORANGE,6,ORANGE,N,60000024.0,DISTINCT PART,22-May-72,60000136.0,"PRIME HEALTHCARE LA PALMA, LLC",ACTIVE,22-May-72,27-Nov-21,26-Nov-22,LIMITED LIABILITY COMPANY,33.847524,-118.038312,"(-118.038312,33.847524)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
1085,LICENSED AND CERTIFIED,USE PARENT MATCH,,60001302,OPEN,CA060000073,050746,,8-Mar-05,27-Dec-17,1982697678,Y,Y,1.0,1.0,8/18/17 0:00,,JC,ORANGE COUNTY GLOBAL MEDICAL CENTER  D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,28,1001 N TUSTIN AVE,SANTA ANA,92705,3502,,,,,400,ORANGE,6,ORANGE,N,60000073.0,DISTINCT PART,19-Dec-84,60000188.0,"ORANGE COUNTY GLOBAL MEDICAL CENTER, INC.",ACTIVE,19-Dec-84,8-Mar-21,7-Mar-22,PROFIT CORP,33.754131,-117.8329005,"(-117.8329005,33.754131)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
1102,LICENSED AND CERTIFIED,USE PARENT MATCH,,60001378,OPEN,CA060000021,050747,,8-Mar-05,9-May-05,1558354258,Y,Y,1.0,1.0,10/17/14 0:00,,JC,"SOUTH COAST GLOBAL MEDICAL CENTER, INC. D/P APH",APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,23,2701 S BRISTOL ST,SANTA ANA,92704,6201,"MYERS, CRAIG G",,,(714) 754-5454,400,ORANGE,6,ORANGE,N,60000021.0,DISTINCT PART,7-Jun-73,60000143.0,"SOUTH COAST GLOBAL MEDICAL CENTER, INC.",ACTIVE,7-Jun-73,8-Mar-21,7-Mar-22,PROFIT CORP,33.711084,-117.884268,"(-117.884268,33.711084)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
1104,LICENSED AND CERTIFIED,USE PARENT MATCH,,60001420,OPEN,CA060000182,050426,,10-Oct-69,10-Feb-16,1871501916,Y,Y,1.0,1.0,7/21/17 0:00,,JC,WEST ANAHEIM MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,30,3033 W ORANGE AVE,ANAHEIM,92804,3156,"CULBERSON, DAVID",,,(714) 827-3000,400,ORANGE,6,ORANGE,N,60000016.0,DISTINCT PART,8-Feb-65,60000182.0,"PRIME HEALTHCARE ANAHEIM, LLC",ACTIVE,8-Feb-65,10-Nov-21,9-Nov-22,LIMITED LIABILITY COMPANY,33.825456,-117.9948825,"(-117.9948825,33.825456)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
1169,LICENSED AND CERTIFIED,USE PARENT MATCH,,60001717,OPEN,CA060000006,050745,,,,1427041110,Y,Y,1.0,1.0,10/3/18 0:00,,JC,CHAPMAN GLOBAL MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,12,2601 E CHAPMAN AVE,ORANGE,92869,3206,"NORRIS, DOUG",,,(714) 633-0011,400,ORANGE,6,ORANGE,N,60000006.0,DISTINCT PART,3-Dec-68,60000097.0,"CHAPMAN GLOBAL MEDICAL CENTER, INC.",ACTIVE,3-Dec-68,10-Oct-21,7-Mar-22,PROFIT CORP,33.788511,-117.826335,"(-117.826335,33.788511)",,30,ORANGE,6059,,,,,,15-Mar-22,False,False,False,True
1491,LICENSED AND CERTIFIED,USE PARENT MATCH,,70000288,OPEN,CA070000137,050145,,1-Jul-66,15-Aug-19,1932197258,Y,Y,1.0,1.0,5/1/99 0:00,,JC,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA D/P A,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,18,23625 W.R. HOLMAN HWY,MONTEREY,93940,5902,,,,(831) 624-5311,370,MONTEREY,7,SAN JOSE,N,70000137.0,DISTINCT PART,23-Feb-05,70000026.0,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,ACTIVE,,13-Jan-22,30-Nov-22,NONPROFIT CORP,36.57916153,-121.9152286,"(-121.9152286,36.579161531)",,27,MONTEREY,6053,,,,,,15-Mar-22,False,False,False,True
1492,LICENSED AND CERTIFIED,USE PARENT MATCH,,70000290,OPEN,CA070000149,050038,,1-Jul-66,18-Mar-20,1063406551,Y,Y,1.0,1.0,11/10/18 0:00,,JC,SANTA CLARA VALLEY MEDICAL CENTER DP/APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,50,751 S BASCOM AVE,SAN JOSE,95128,2604,,,,(408) 885-5000,530,SANTA CLARA,7,SAN JOSE,N,70000149.0,DISTINCT PART,1-May-80,70000085.0,THE COUNTY OF SANTA CLARA,ACTIVE,1-May-80,18-Jan-22,30-Apr-22,COUNTY,37.313424,-121.9342095,"(-121.9342095,37.313424)",,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
1493,LICENSED AND CERTIFIED,USE PARENT MATCH,,70000306,OPEN,CA070000145,050248,,1-Jul-66,23-Sep-21,1699979245,Y,Y,1.0,1.0,11/17/11 0:00,,JC,NATIVIDAD MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,22,1441 CONSTITUTION BLVD,SALINAS,93906,3100,"DOVER, JAMES F",,,(831) 755-4111,370,MONTEREY,7,SAN JOSE,N,70000145.0,DISTINCT PART,23-Feb-05,70000070.0,COUNTY OF MONTEREY,ACTIVE,,1-Jan-22,21-Dec-22,COUNTY,36.697248,-121.6340235,"(-121.6340235,36.697248)",,27,MONTEREY,6053,,,,,,15-Mar-22,False,False,False,True
1577,LICENSED ONLY,,,70001127,OPEN,CA070001127,,,,,,N,N,,,,,,INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,602 E SANTA CLARA ST,SAN JOSE,95112,1907,"DURAN, MICHAEL",MDURAN@IHCSCV.ORG,(408) 448-1727,(408) 445-8172,530,SANTA CLARA,7,SAN JOSE,Y,,PARENT,,70000482.0,INDIAN HEALTH CENTER OF SANTA CLARA VALLEY,ACTIVE,2-Jun-00,2-Jun-21,1-Jun-22,NONPROFIT CORP,37.342026,-121.877703,"(-121.877703,37.342026)",306434213.0,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
1671,LICENSED AND CERTIFIED,USE PARENT MATCH,,70001353,OPEN,CA070001351,050308,,1-Jul-66,25-Mar-19,1093712374,Y,Y,1.0,1.0,5/29/01 0:00,,JC,EL CAMINO HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,36,2590 GRANT RD,MOUNTAIN VIEW,94040,4302,"GRAHAM, KENNETH D",,,(650) 940-7000,530,SANTA CLARA,7,SAN JOSE,N,70001351.0,DISTINCT PART,30-Jun-80,70000660.0,EL CAMINO HOSPITAL,ACTIVE,30-Jun-80,31-Dec-21,30-Dec-22,NONPROFIT CORP,37.36745551,-122.0779241,"(-122.0779241,37.367455508)",,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
1674,LICENSED AND CERTIFIED,USE PARENT MATCH,,70001359,OPEN,CA070001357,050441,,1-Jul-68,22-Sep-21,1871543215,Y,Y,1.0,1.0,3/22/01 0:00,,JC,STANFORD HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,30,300 PASTEUR DR,STANFORD,94305,2200,"MARSH, MARTHA",,,(650) 723-4000,530,SANTA CLARA,7,SAN JOSE,N,70001357.0,DISTINCT PART,1-Jun-80,70000662.0,STANFORD HEALTH CARE,ACTIVE,1-Jun-80,28-Jul-21,30-Mar-22,NONPROFIT CORP,37.4330948,-122.1758822,"(-122.1758822,37.433094801)",,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
1691,LICENSED ONLY,USE PARENT MATCH,,70001410,OPEN,CA070000154,,,,,,Y,Y,,,,,,MISSION OAKS HOSPITAL - D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,21,15891 LOS GATOS ALMADEN RD,LOS GATOS,95032,3742,"WILLIAMS, ROLAND",,,(408) 559-2011,530,SANTA CLARA,7,SAN JOSE,N,70000154.0,DISTINCT PART,1-Oct-80,70000048.0,"GOOD SAMARITAN HOSPITAL, LP",ACTIVE,1-Oct-80,1-Feb-22,31-Jan-23,PARTNERSHIP,37.244772,-121.948011,"(-121.948011,37.244772)",,43,SANTA CLARA,6085,,,,,,15-Mar-22,False,False,False,True
1743,LICENSED AND CERTIFIED,,,80000156,OPEN,CA080000156,054075,,31-May-84,9-Jul-19,1477969970,Y,Y,1.0,1.0,5/25/22 0:00,,JC,ALVARADO PARKWAY INSTITUTE BEHAVIORAL HEALTH SYSTEM,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,66,7050 PARKWAY DR,LA MESA,91942,1535,"WOMACK, MAUREEN",PDELAROSA@APIBHS.COM,(619) 667-6036,(619) 465-4411,470,SAN DIEGO,10,SAN DIEGO,Y,,PARENT,,80000079.0,BH-SD OPCO LLC,ACTIVE,,5-Jan-22,4-Jan-23,LIMITED LIABILITY COMPANY,32.774481,-117.0440325,"(-117.0440325,32.774481)",106370749.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
