,X,Y,OBJECTID,LICENSEE,LICENSE_NUM,DBA,OTP_CA10,ADDRESS,CITY,STATE,PROGRAM_ZIP,PHONE_NUMBER,CAPACITY,OPERATING_HOURS,DISPENSING_HOURS,WEEKEND_HOURS,WEEKEND_DISPENSING_HOURS,PROGRAM_DIRECTOR,MEDICAL_DIRECTOR,LATITUDE,LONGITUDE,COUNTYNAME
10,-122.3565435,37.925451,11,"Addiction Research and Treatment, Inc.", 07-08 ,BAART Program Richmond,095M,1301 and 1313 Cutting Boulevard,Richmond,CA,94804,(510) 232-0874,500,6am - 2pm,6:00am - 1:00pm,6:45am - 10:45am,7:00am - 10:00am,Ulrika Williams,"Kyle Moore, M.D.",37.92524053,-122.3565435,Contra Costa County
11,-122.2789792,37.85366016,12,Berkeley Addiction Treatment Services, 01-90 ,,093M,2975 Sacramento Street,Berkeley,CA,94702,(510) 644-0200,255,5:30am - 12:45pm,5:30am - 10:30am ,5:30am - 9:00am,5:30am - 9:00am,Matonia Williams,"Frank Staggers, M.D.",37.85366016,-122.2789792,Alameda County
12,-122.3565435,37.925451,13,"BAART Behavioral Health Services, Inc.", 07-08D ,BAART Program Richmond,244M,1301 and 1313 Cutting Boulevard,Richmond,CA,94804,(510) 232-0874,20,6am - 2pm,6:00am - 1:00pm,6:45am - 10:45am,7:00am - 10:00am,Ulrika Williams,"Kyle Moore, M.D.",37.92524053,-122.3565435,Contra Costa County
13,-122.2874865,37.804203,14,The West Oakland Health Council, 01-60 ,,111M,"700 Adeline Street, Suites 270 & 290",Oakland,CA,94607,(510) 302-3741,110,7:30am - 4:30pm,7:45 am - 11:45 am,7:30am - 11:30am,7:45am - 9:45am,"Nicole Sudduth, LCSW","Michael Rosenfield, D.O.",37.804203,-122.2874865,Alameda County
14,-122.1497235,37.74159,15,"Humanistic Alternatives to Addiction Research and Treatment, Inc.", 01-70 ,,038M,"10850 MacArthur Boulevard, Suite 200",Oakland,CA,94605,(510) 875-2300,500,6:00am - 2:00pm,6:00am - 8:00am; 9:00am - 12:00pm ,7:30am - 10:00am,7:30am - 10:00am,Michelle Burch,"Martin Mennen, M.D.",37.741417,-122.1498028,Alameda County
15,-122.0426656,37.98984147,16,"Addiction Research and Treatment, Inc.", 07-10,BAART Programs Concord,412M,2158 Solano Way,Concord,CA,94520,(925) 690-5710,300,5:30am - 2:00pm,5:30am - 1:00pm,7:00am - 10:00am,7:00am - 10:00am,Nadine Robbins-Laurent,"William Quismoro, M.D.",37.98984147,-122.0426656,Contra Costa County
16,-119.7993825,36.732429,17,"Addiction Research and Treatment, Inc.", 10-02 ,BAART Programs E Street,141M,1235 E Street,Fresno,CA,93706,(559) 268-6261,700,5:30am - 1:30 pm,5:30am - 11am; Th 5:30am-1pm,6:00am - 9:00am,6:00am - 9:00am,Fauna Acker,"Laurene Spencer, M.D.",36.73263033,-119.7991942,Fresno County
17,-119.7993825,36.732429,18,"BAART Behavioral Health Services, Inc.", 10-02D ,BAART BBHS Programs E Street,216M,1235 E Street,Fresno,CA,93706,(559) 268-6261,25,5:30am - 1:30 pm,5:30am - 11am; Th 5:30am-11am; 12pm - 1pm,6:00am - 9:00am,6:00am - 9:00am,Fauna Acker,"Laurene Spencer, M.D.",36.73263033,-119.7991942,Fresno County
18,-119.799306,36.751194,19,"Addiction Research and Treatment, Inc.", 10-01 ,BAART Programs Van Ness,005M,539 North Van Ness Avenue,Fresno,CA,93728,(559) 266-9581,700,6am - 2pm,6:00am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Sara Castillo,"Farhad Mahjouri, M.D.",36.751194,-119.7989285,Fresno County
19,-119.799306,36.751194,20,"BAART Behavioral Health Services, Inc.", 10-01D ,BAART Programs Van Ness,218M,539 North Van Ness Avenue,Fresno,CA,93728,(559) 266-9581,20,6am - 2pm,6:00am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Sara Castillo,"Farhad Mahjouri, M.D.",36.751194,-119.7989285,Fresno County
20,-119.734416,36.67599,21,"Addiction Research and Treatment, Inc.", 10-04 ,BAART Programs Cartwright,307M,3103 East Cartwright Avenue,Fresno,CA,93725,(559) 498-7100,225,5:00am - 1:00pm,5:00am - 9:30am; 10:30am - 12:30 pm,6:00am - 9:00am; Closed Sunday,6:00am - 9:00am; Closed Sunday,Jennifer Amity Berool,"Laurene Spencer, M.D.",36.676162,-119.7344779,Fresno County
21,-119.790288,36.739557,22,"MedMark Treatment Centers - Fresno West, Inc.", 10-06 ,MedMark Treatment Centers Fresno,362M,1310 M Street,Fresno,CA,93721,(559) 264-2700,630,5:00am - 1:30pm,5:00am - 1:00pm,6:00am - 10:00am,6:00am - 10:00am,Bee Vue,"Gilbert Greene, D.O.",36.73928425,-119.7905394,Fresno County
22,-119.763189,36.779877,23,"Aegis Treatment Centers, LLC", 10-07 ,,223M,3707  E. Shields Avenue,Fresno,CA,93726,(559) 229-9040,560,5:00am - 6:30pm,5:00am-9:00am; 10:00am-1:00pm; 2:00-5:30pm,Sat 6:00am - 2:30pm; Sun 6:00am - 10:00am,Sat 6:00am - 1:30pm; Sun 6:00am - 10:00am,Tiffany Martinez,"Marc Lasher, M.D.",36.7796895,-119.763189,Fresno County
23,-119.734416,36.67599,24,"BAART Behavioral Health Services, Inc.", 10-04D ,BAART Programs Cartwright,308M,3103 East Cartwright Avenue,Fresno,CA,93725,(559) 498-7100,10,5:00am - 1:00pm,5:00am - 9:30am; 10:30am - 12:30 pm,6:00am - 9:00am; Closed Sunday,6:00am - 9:00am; Closed Sunday,Jennifer Amity Berool,"Laurene Spencer, M.D.",36.676162,-119.7344779,Fresno County
24,-124.148979,40.80744,25,"Aegis Treatment Centers, LLC", 12-01 ,,409M,2107 1st Street,Eureka,CA,95501,(707)273-6398,350,6:00am - 2:30pm,6:00am - 10am;11:00am - 1:30pm,7:00am - 10:00am,7:00am - 10:00am,Sarah Vogel,"Nancy Brockington, M.D.",40.80717748,-124.148979,Humboldt County
25,-115.5022091,32.67021133,26,"Imperial Valley Medical Clinic, Inc.", 13-02 ,,140M,535 West Cesar Chavez Boulevard,Calexico,CA,92231,(760) 357-6566,120,6:00am - 3:00pm,6:00am - 11:00am,Closed,6:00am - 9:00am; Closed Sunday,"Norma M. Apodaca, MSW","Lucian Oprea, M.D.",32.67021133,-115.5022091,Imperial County
26,-122.040864,37.916928,27,Harmonic Solutions, 07-09,,410M,"1776 Ygnacio Valley Road, #206",Walnut Creek,CA,94598,(925) 278-1792,150,5am - 11am; Th 12-2pm,5:00am - 11:00am,6:00am - 8:00am,6:00am - 8:00am,Jodi Klopf,"Kulraj Sidhu, M.D.",37.91651678,-122.0403777,Contra Costa County
27,-119.244441,35.76952756,28,"Aegis Treatment Centers, LLC", 15-06 ,,303M,1019 Jefferson Street,Delano,CA,93215,(661) 721-0463,120,5:30am - 2:00pm,5:30am-9:30am; 10:30am-1:00pm,8:00am - 9:00am; Closed Sunday,8:00am - 9:00am; Closed Sunday,Graciela Salazar,"Howard Morley, M.D.",35.76952756,-119.244441,Kern County
28,-119.013246,35.378307,29,"Aegis Treatment Centers, LLC", 15-05 ,,272M,1018 21st Street,Bakersfield,CA,93301,(661) 861-9967,750,5:00am - 3:00pm,5:00am - 2:30pm,6:00am - 10:00am; 11:00am - 2:30pm,6:00am - 10:00am; 11:00am - 1:30pm,Laura Love,"George Girgis, M.D.",35.37813433,-119.0132474,Kern County
29,-115.5550005,32.791491,30,"Imperial Valley Medical Clinic, Inc.", 13-04 ,Medical Treatment Center,343M,200 South 5th Street,El Centro,CA,92243,(760) 482-0864,380,6:00am - 3:00pm,6:00am - 11:00am; 12:00pm - 2:00pm,Closed,6:00am - 9:00am,"Norma M. Apodaca, MSW","Lucian Oprea, M.D.",32.791491,-115.5547532,Imperial County
30,-119.0080215,35.397783,31,"Aegis Treatment Centers, LLC", 15-07 ,,381M,501 W. Columbus Street and 4050 San Dimas Street,Bakersfield,CA,93301,(661) 328-0245,475,5:00am - 3:00pm,5:00am - 9:00am; 10:00am- 2:30pm ,6:00am - 2:30pm; Closed Sunday,6:00am - 1:30pm; Closed Sunday,Chrystal McIntire,"George Girgis, M.D.",35.397783,-119.0080215,Kern County
31,-119.0028897,35.34385208,32,American Health Services LLC, 15-04 ,,329M,1010 1/2 South Union Avenue,Bakersfield,CA,93307,(661) 321-0234,500,5:30am - 2:00pm,5:30am - 1:00pm,7:00am - 11:00am,7:00am - 11:00am,Stacy Knox,"Michael Yadegari, M.D.",35.34385208,-119.0028897,Kern County
32,-118.2630751,34.13473459,33,Western Pacific Med-Corp., 19-012 ,,161M,"4544 San Fernando Road,  Suite 201",Glendale,CA,91204,(818) 240-8843,325,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Shirley Poorawood,"David Sami, M.D.",34.13473459,-118.2630751,Los Angeles County
33,-117.692892,35.651358,34,"Aegis Treatment Centers, LLC - Medication Unit",15-07MU1,,381M,"1111 West Inyokern Road, Suite B",Ridgecrest,CA,93555,(760)301-6945,75,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am; Closed Sunday,7:00am - 11:00am; Closed Sunday,Chrystal McIntire,"George Girgis, M.D.",35.65169051,-117.6928823,Kern County
34,-118.2872087,33.77869356,35,Western Health Community Clinics, 19-035 ,,183M,1647 West Anaheim Street,Harbor City,CA,90710,(310) 534-5590,110,5:30am - 11:00am,5:30am - 11:00am,7:00am - 9:00am,7:00am - 9:00am,Sivan Sharma Wilson,"Dennis Sanchez, M.D.",33.77869356,-118.2872087,Los Angeles County
35,-118.1936505,33.85423201,36,West County Medical Clinic, 19-037 ,,190M,100 East Market Street,Long Beach,CA,90805,(562) 428-4222,300,5:30am -9:30am; 10:00am-1:30pm ,5:30am -9:30am; 10:00am-12:30pm ,8:00am - 11:00am,8:00am - 11:00am,Maria Garcia,"Michael Yadegari, M.D.",33.85423201,-118.1936505,Los Angeles County
36,-118.157382,34.019172,37,"Narcotics Prevention Association, Inc.", 19-013 ,,180M,"942 South Atlantic Boulevard, Suite 100",Los Angeles,CA,90022,(323) 263-9700,450,5:00am - 5:00pm,5:00am - 5:00pm,6:00am - 10:00am,6:00am - 10:00am,Luis Montes,"Leonard P. Jones, M.D.",34.01924601,-118.157619,Los Angeles County
37,-118.3540005,33.945156,38,El Dorado Community Service Center, 19-042 ,,209M,4450 West Century Boulevard,Inglewood,CA,90304,(310) 671-0555,175,6:00am - 10:00am;11:00-2:30pm ,6:00am - 10:00am;11:00-1:30pm ,8:30am - 9:30am,8:30am - 9:30am,Brenda Jordan,"Michael Yadegari, M.D.",33.945156,-118.3540005,Los Angeles County
38,-118.260963,33.771429,39,"Transcultural Health Development, Inc.", 19-038 ,Coastal Recovery Center,197M,117 East Harry Bridges Boulevard,Wilmington,CA,90744,(310) 549-8383,300,5:30am -9:30am; 10:00am-1:30pm ,5:00am - 12:00pm: Thurs 5:00am - 11:30am,6:00am - 10:00am,Sat 6:00am - 10:00am; Sun 7:00am - 8:00am as needed,Andrea Adams,"Steven Ruh, M.D.",33.7713518,-118.2609602,Los Angeles County
39,-118.534392,34.202133,40,Western Pacific Med-Corp., 19-060 ,,191M,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,CA,91335,(818) 705-5561,375,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Erica Tapia,"Daryoosh Sami, M.D.",34.2021273,-118.5347574,Los Angeles County
40,-118.450026,34.242318,41,Western Pacific Med-Corp., 19-088 ,,195M,9462 Van Nuys Boulevard,Panorama City,CA,91402,(818) 891-8555,325,5:45am - 2:30pm,5:45am - 12:30pm,5:45am - 9:45am,5:45am - 9:30am,Nancy Calzada,"Daryoosh Sami, M.D.",34.242318,-118.4502035,Los Angeles County
41,-118.09611,34.006941,42,Tavarua Health Services, 19-107 ,,235M,8207 Whittier Boulevard,Pico Rivera,CA,90660,(562) 695-0737,460,5:00am - 2:00pm,5:00am - 12:00pm,7:00am - 8:00am,7:00am - 8:00am,Michelle Murphy,"Michael Yadegari, M.D.",34.00671276,-118.0962061,Los Angeles County
42,-117.9526192,34.03787178,43,"Addiction Research and Treatment, Inc.", 19-112 ,BAART Programs La Puente,230M,15229 East Amar Road,La Puente,CA,91744,(626) 855-5090,450,5:30am - 2:00pm,5:30am - 1:30 pm,6:00am - 10:00am,6:00am - 10:00am,Marcelo Tejada,"Thomas Farnham, M.D.",34.03787178,-117.9526192,Los Angeles County
43,-117.9526192,34.03787178,44,"BAART Behavioral Health Services, Inc.", 19-112D ,BAART Programs La Puente,238M,15229 East Amar Road,La Puente,CA,91744,(626) 855-5090,25,5:30am - 2:00pm,5:30am - 1:30 pm,6:00am - 10:00am,6:00am - 10:00am,Marcelo Tejada,"Thomas Farnham, M.D.",34.03787178,-117.9526192,Los Angeles County
44,-118.0796715,33.901902,45,Western Pacific Med-Corp., 19-114 ,,233M,"11902 Rosecrans Boulevard, Suites A & D",Norwalk,CA,90650,(562) 929-7188,275,5:00am - 1:45pm,5:00am - 9:45am; 10:30am - 12:00pm,5:00am - 9:00am,5:00am - 8:30am,Mona Taylor,"Raaga Iskarous, M.D.",33.901902,-118.0796715,Los Angeles County
45,-118.264824,33.99813,46,"BAART Behavioral Health Services, Inc.", 19-048D ,BAART Programs Southeast,221M,4920 South Avalon Boulevard,Los Angeles,CA,90011,(323) 235-5035,25,5:30am - 2:00pm ,5:30am - 1:30pm ,6:30am - 10:30am,6:30am - 10:30am,Mahshid M. Reaves,"David De la Loza, M.D.",33.99813,-118.2652125,Los Angeles County
46,-118.264824,33.99813,47,"Addiction Research and Treatment, Inc.", 19-048 ,BAART Programs Southeast,199M,4920 South Avalon Boulevard,Los Angeles,CA,90011,(323) 235-5035,525,5:30am - 2:00pm ,5:30am - 1:30pm ,6:30am - 10:30am,6:30am - 10:30am,Mahshid M. Reaves,"David  De La Loza, M.D.",33.99813,-118.2652125,Los Angeles County
47,-118.450026,34.242318,48,Western Pacific RE-HAB, 19-121 ,,260M,9462 Van Nuys Boulevard,Panorama,CA,91402,(818) 891-8555,130,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Nancy Calzada,"Daryoosh Sami, M.D.",34.242318,-118.4502035,Los Angeles County
48,-118.1383725,34.7068542,49,Western Pacific Med-Corp., 19-116 ,,240M,45335 Sierra Highway,Lancaster,CA,93534,(661) 949-8599,350,5:45 - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Rachel Revai,"Sambiz Amini, M.D.",34.7068542,-118.1383725,Los Angeles County
49,-118.1383725,34.7068542,50,Western Pacific RE-HAB, 19-122 ,,261M,45335 Sierra Highway,Lancaster,CA,93534,(661) 949-8599,120,5:45 - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Rachel Revai,"Sambiz Amini, M.D.",34.7068542,-118.1383725,Los Angeles County
50,-118.534392,34.202133,51,Western Pacific RE-HAB, 19-123 ,,262M,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,CA,91335,(818) 705-5561,80,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Erica Tapia,"Daryoosh Sami, M.D.",34.2021273,-118.5347574,Los Angeles County
51,-118.0796715,33.901902,52,Western Pacific RE-HAB, 19-124 ,,259M,"11902 Rosecrans Boulevard, Suites A & D",Norwalk,CA,90650,(562) 929-7188,80,5:00am - 1:45pm,5:00am - 12:00pm,5:00am - 9:00am,5:00am - 8:30am,Mona Taylor,"Raaga Iskarous, M.D.",33.901902,-118.0796715,Los Angeles County
52,-118.2630751,34.13473459,53,Western Pacific RE-HAB, 19-125 ,,258M,"4544 San Fernando Road, Suite 201",Glendale,CA,91204,(818) 240-8843,80,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Shirley Poorawood,"Sambiz Amini, M.D.",34.13473459,-118.2630751,Los Angeles County
53,-117.8901507,34.11468,54,Tavarua Medical Rehabilitation Services, 19-126 ,,257M,474 S. Citrus Avenue,Azusa,CA,91702,(626) 858-9500,210,5:30am - 9:30am; 10:00am - 2:00pm,5:30am - 9:30am; 10:00am - 1:00pm,7:00am - 11:00am,7:00am - 9:00am,Phyllis Calderon,"Michael Yadegari, M.D.",34.11468,-117.8901507,Los Angeles County
54,-118.268559,34.065684,55,"Addiction Research and Treatment, Inc.", 19-115 ,BAART Programs Beverly,020M,1926 West Beverly Boulevard,Los Angeles,CA,90057,(213) 353-1140,850,5:30am - 1:30pm,5:30am - 10:00am; 11:00am -12:30pm ,7:00am - 11:00am,7:00am - 11:00am,Alfredo Morales,"David De la Loza, M.D.",34.06582096,-118.2684981,Los Angeles County
55,-118.193364,33.798537,56,West County Medical Corporation, 19-128 ,,255M,"2272 Pacific Avenue, Suite A",Long Beach,CA,90806,(562) 427-8018,325,6:00am - 10:00am; 11:00am - 2:30pm,6:00am - 10:00am; 11:00am - 1:30pm,6:00am - 8:00am,6:00am - 8:00am,Vanessa Romero,"Michael Yadegari, M.D.",33.798537,-118.1936405,Los Angeles County
56,-118.344618,33.894873,57,El Dorado Community Service Center, 19-136 ,,306M,4023 Marine Avenue,Lawndale,CA,90260,(310) 675-9555,250,6:00am - 10:00am; 11:00am - 2:30pm,6:00am - 10:00am; 11:00am - 1:30pm,7:00am - 11:00am,7:00am - 8:00am,Dennise Andrade,"Michael Yadegari, M.D.",33.89467946,-118.344618,Los Angeles County
57,-118.528953,34.3845683,58,El Dorado Community Service Center, 19-137 ,,305M,24625 Arch Street,Newhall,CA,91321,(661) 288-2644,200,5:30am - 9:30am,5:30am - 9:00am,7:30am - 8:30am; Closed Sunday,7:30am - 8:30am; Closed Sunday,Kristin Reynolds,"Michael Yadegari, M.D.",34.3845683,-118.528953,Los Angeles County
58,-118.268559,34.065684,59,"BAART Behavioral Health Services, Inc.", 19-115D ,BAART Programs Beverly,248M,1926 West Beverly Boulevard,Los Angeles,CA,90057,(213) 353-1140,30,5:30am - 1:30 pm,5:30am - 12:30pm,7:00am - 11:00am,7:00am - 11:00am,Alfredo Morales,"David De la Loza, M.D.",34.06582096,-118.2684981,Los Angeles County
59,-118.4455755,34.1865,60,Western Pacific Med-Corp., 19-138 ,,322M,14332 Victory Boulevard,Van Nuys,CA,91401,(818) 989-1996,275,5:45am - 2:30pm,5:45am - 9:30am; 10:15am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Arthur Poordawood,"Daryoosh Sami, M.D.",34.18664551,-118.4455755,Los Angeles County
60,-118.396287,34.158789,61,Western Pacific Med-Corp., 19-139 ,,321M,4838 Laurel Canyon Boulevard,North Hollywood,CA,91607,(818) 506-4455,275,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Kimberly Ann Millard,"Daryoosh Sami, M.D.",34.158789,-118.3964625,Los Angeles County
61,-118.346382,34.047945,62,American Health Services LLC, 19-140 ,,314M,5015 Pico Boulevard,Los Angeles,CA,90019,(323) 653-1677,150,6am - 10:00am; 11:00am - 2:30pm ,6am - 10:00am; 11:00am - 1:30pm ,8:30am - 9:30am,8:30am - 9:30am,Ramona Fluellen,"Michael Yadegari, M.D.",34.04781483,-118.3463897,Los Angeles County
62,-118.4667525,34.184385,63,American Health Services LLC, 19-143 ,,318M,"6265 Sepulveda Boulevard, Suite 9",Van Nuys,CA,91411,(818) 779-0555,250,5:30am - 9:00am; 10:00am - 2:00pm,5:30am - 9:00am; 10:00am - 1:00pm,7:00am - 11:00am,7:00am - 11:00am,Kristin Reynolds,"Michael Yadegari, M.D.",34.18437645,-118.466216,Los Angeles County
63,-118.4641425,33.999363,64,American Health Services LLC, 19-142 ,,315M,717 Lincoln Boulevard,Los Angeles,CA,90291,(310) 399-9883,200,5:00am - 1:30pm,5:00am - 12:30 pm,9:30am - 11:00am,9:30am - 11:00am,Vanessa Romero,"Michael Yadegari, M.D.",33.999363,-118.4641425,Los Angeles County
64,-118.1887155,33.917229,65,"Addiction Research and Treatment, Inc.", 19-147 ,BAART Programs Lynwood,205M,11682 Atlantic Avenue,Lynwood,CA,90262,(310) 537-5883,300,5:30am - 2:00pm,5:30am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Robert Trevino,"Thomas Farnham, M.D.",33.91733738,-118.1889675,Los Angeles County
65,-118.1887155,33.917229,66,"BAART Behavioral Health Services, Inc.", 19-147D ,BAART Programs Lynwood,205M,11682 Atlantic Avenue,Lynwood,CA,90262,(310) 537-5883,15,5:30am - 2:00pm,5:30am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Robert Trevino,"Thomas Farnham, M.D.",33.91733738,-118.1889675,Los Angeles County
66,-118.072323,33.834006,67,American Health Services LLC, 19-145 ,,326M,21505 Norwalk Boulevard,Hawaiian Gardens,CA,90716,(562) 916-7581,300,5am - 9:00am; 10:00am - 1:30pm,5am - 9:00am; 10:00am - 12:30pm,8:30am - 9:30am,8:30am - 9:30am,Mona Grimmitt,"Michael Yadegari, M.D.",33.834006,-118.072323,Los Angeles County
67,-118.0800675,34.579476,68,American Health Services LLC, 19-141 ,,316M,"2720 East Palmdale Boulevard, Suites 129, 130 & 131",Palmdale,CA,93550,(661) 947-3333,215,6:00am - 2:30pm,6:00am - 1:30pm,6:00am - 11:00am,6:00am - 10:00am,Brandie O'Brien,"Michael Yadegari, M.D.",34.58016516,-118.0800714,Los Angeles County
68,-118.539765,34.179471,69,"Tarzana Treatment Center, Inc.", 19-152 ,,294M,18646 Oxnard Street,Tarzana,CA,91356,(818) 996-1051,335,5:30am - 4:00pm,5:30am - 1:30pm,7:00am - 11:00am,7:00am - 11:00am,Jose Salazar,"E. Duane Carmalt, M.D.",34.17993611,-118.5397505,Los Angeles County
69,-118.400076,34.228206,70,"Narcotic Addiction Treatment Agency, Inc.", 19-150 ,BAART Programs Sun Valley,353M,8741 Laurel Canyon Boulevard,Sun Valley,CA,91352,(818) 768-5525,200,6:00am - 2:30 pm,6:00am - 2:00 pm,7:00am - 11:00am,7:00am - 11:00am,Lela Saenz,"Darrell Webb, M.D.",34.22836358,-118.3999266,Los Angeles County
70,-117.9068625,34.07751,71,"Aegis Treatment Centers, LLC", 19-153 ,,142M,1825 E. Thelborn Street,West Covina,CA,91791,(626) 915-3844,195,5:00am - 1:30pm,5:00am - 9:00am; 10:00am - 12:30pm,6:00am - 10:00am,6:00am - 10:00am; Closed Sunday,Jennifer Bozarth,"Daniel Radnia, M.D.",34.07732149,-117.9068625,Los Angeles County
71,-118.0836,33.99831,72,El Dorado  Community Service Center, 19-148 ,,346M,"5200 San Gabriel Place, Suites B & C",Pico Rivera,CA,90660,(562) 222-1331,300,5:30am - 2:00pm,5:30am - 1:00pm,8:30am - 9:30am,8:30am - 9:30am,Maria Garcia,"Michael Yadegari, M.D.",33.99841846,-118.0840198,Los Angeles County
72,-117.7517205,34.06842,73,"Aegis Treatment Centers, LLC", 19-155 ,,196M,1050 N. Garey Avenue,Pomona,CA,91767,(909) 623-6391,200,5:00am - 1:30pm,5:00am - 9:00am; 10:00am - 12:30pm,5:00am - 9:00am,5:00am - 9:00am,Jill Teagardin,"Claire Nelson, M.D.",34.06842,-117.7517205,Los Angeles County
73,-118.2629745,33.78951,74,"Aegis Treatment Centers, LLC", 19-157 ,,225M,1322 N. Avalon Boulevard,Wilmington,CA,90744,(310) 513-1300,275,5:00am - 6:30pm,5:00am-9:00am; 10:00am-12:30pm; 1:30pm-6:00pm,6:00am - 10:00am,6:00am - 10:00am,Penny Johnson,"Brian Talleur, M.D.",33.78949357,-118.2631662,Los Angeles County
