,X,Y,OBJECTID,LICENSEE,LICENSE_NUM,DBA,OTP_CA10,ADDRESS,CITY,STATE,PROGRAM_ZIP,PHONE_NUMBER,TOTAL_SLOTS,OPERATING_HOURS,DISPENSING_HOURS,WEEKEND_HOURS,WEEKEND_DISPENSING_HOURS,PROGRAM_DIRECTOR,MEDICAL_DIRECTOR,LATITUDE,LONGITUDE,COUNTYNAME
29,-115.5550005,32.7914910000001,30,"Imperial Valley Medical Clinic, Inc.", 13-04 ,Medical Treatment Center,343M,200 South 5th Street,El Centro,CA,92243,(760) 482-0864,380,6:00am - 3:00pm,6:00am - 11:00am; 12:00pm - 2:00pm,Closed,6:00am - 9:00am,"Norma M. Apodaca, MSW","Lucian Oprea, M.D.",32.791491,-115.554753150037,Imperial County
30,-119.0080215,35.3977830000001,31,"Aegis Treatment Centers, LLC", 15-07 ,,381M,501 W. Columbus Street and 4050 San Dimas Street,Bakersfield,CA,93301,(661) 328-0245,475,5:00am - 3:00pm,5:00am - 9:00am; 10:00am- 2:30pm ,6:00am - 2:30pm; Closed Sunday,6:00am - 1:30pm; Closed Sunday,Chrystal McIntire,"George Girgis, M.D.",35.397783,-119.0080215,Kern County
31,-119.002889659,35.34385208,32,American Health Services LLC, 15-04 ,,329M,1010 1/2 South Union Avenue,Bakersfield,CA,93307,(661) 321-0234,500,5:30am - 2:00pm,5:30am - 1:00pm,7:00am - 11:00am,7:00am - 11:00am,Stacy Knox,"Michael Yadegari, M.D.",35.34385207964,-119.002889659193,Kern County
32,-118.263075126,34.134734592,33,Western Pacific Med-Corp., 19-012 ,,161M,"4544 San Fernando Road,  Suite 201",Glendale,CA,91204,(818) 240-8843,325,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Shirley Poorawood,"David Sami, M.D.",34.1347345923626,-118.263075125826,Los Angeles County
33,-117.692892,35.6513580000001,34,"Aegis Treatment Centers, LLC - Medication Unit",15-07MU1,,381M,"1111 West Inyokern Road, Suite B",Ridgecrest,CA,93555,(760)301-6945,75,7:00am - 11:00am,7:00am - 11:00am,7:00am - 11:00am; Closed Sunday,7:00am - 11:00am; Closed Sunday,Chrystal McIntire,"George Girgis, M.D.",35.6516905100989,-117.692882276992,Kern County
34,-118.287208665,33.7786935610001,35,Western Health Community Clinics, 19-035 ,,183M,1647 West Anaheim Street,Harbor City,CA,90710,(310) 534-5590,110,5:30am - 11:00am,5:30am - 11:00am,7:00am - 9:00am,7:00am - 9:00am,Sivan Sharma Wilson,"Dennis Sanchez, M.D.",33.7786935612655,-118.287208665051,Los Angeles County
35,-118.193650507,33.8542320070001,36,West County Medical Clinic, 19-037 ,,190M,100 East Market Street,Long Beach,CA,90805,(562) 428-4222,300,5:30am -9:30am; 10:00am-1:30pm ,5:30am -9:30am; 10:00am-12:30pm ,8:00am - 11:00am,8:00am - 11:00am,Maria Garcia,"Michael Yadegari, M.D.",33.8542320070154,-118.193650507015,Los Angeles County
36,-118.157382,34.019172,37,"Narcotics Prevention Association, Inc.", 19-013 ,,180M,"942 South Atlantic Boulevard, Suite 100",Los Angeles,CA,90022,(323) 263-9700,450,5:00am - 5:00pm,5:00am - 5:00pm,6:00am - 10:00am,6:00am - 10:00am,Luis Montes,"Leonard P. Jones, M.D.",34.019246012205,-118.157618956403,Los Angeles County
37,-118.3540005,33.9451560000001,38,El Dorado Community Service Center, 19-042 ,,209M,4450 West Century Boulevard,Inglewood,CA,90304,(310) 671-0555,175,6:00am - 10:00am;11:00-2:30pm ,6:00am - 10:00am;11:00-1:30pm ,8:30am - 9:30am,8:30am - 9:30am,Brenda Jordan,"Michael Yadegari, M.D.",33.945156,-118.3540005,Los Angeles County
38,-118.260963,33.7714290000001,39,"Transcultural Health Development, Inc.", 19-038 ,Coastal Recovery Center,197M,117 East Harry Bridges Boulevard,Wilmington,CA,90744,(310) 549-8383,300,5:30am -9:30am; 10:00am-1:30pm ,5:00am - 12:00pm: Thurs 5:00am - 11:30am,6:00am - 10:00am,Sat 6:00am - 10:00am; Sun 7:00am - 8:00am as needed,Andrea Adams,"Steven Ruh, M.D.",33.7713518026718,-118.260960150153,Los Angeles County
39,-118.534392,34.2021330000001,40,Western Pacific Med-Corp., 19-060 ,,191M,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,CA,91335,(818) 705-5561,375,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Erica Tapia,"Daryoosh Sami, M.D.",34.2021273003058,-118.534757367159,Los Angeles County
40,-118.450026,34.2423180000001,41,Western Pacific Med-Corp., 19-088 ,,195M,9462 Van Nuys Boulevard,Panorama City,CA,91402,(818) 891-8555,325,5:45am - 2:30pm,5:45am - 12:30pm,5:45am - 9:45am,5:45am - 9:30am,Nancy Calzada,"Daryoosh Sami, M.D.",34.242318,-118.450203528709,Los Angeles County
41,-118.09611,34.006941,42,Tavarua Health Services, 19-107 ,,235M,8207 Whittier Boulevard,Pico Rivera,CA,90660,(562) 695-0737,460,5:00am - 2:00pm,5:00am - 12:00pm,7:00am - 8:00am,7:00am - 8:00am,Michelle Murphy,"Michael Yadegari, M.D.",34.0067127607766,-118.09620605661,Los Angeles County
42,-117.952619229,34.0378717840001,43,"Addiction Research and Treatment, Inc.", 19-112 ,BAART Programs La Puente,230M,15229 East Amar Road,La Puente,CA,91744,(626) 855-5090,450,5:30am - 2:00pm,5:30am - 1:30 pm,6:00am - 10:00am,6:00am - 10:00am,Marcelo Tejada,"Thomas Farnham, M.D.",34.0378717844555,-117.95261922877,Los Angeles County
43,-117.952619229,34.0378717840001,44,"BAART Behavioral Health Services, Inc.", 19-112D ,BAART Programs La Puente,238M,15229 East Amar Road,La Puente,CA,91744,(626) 855-5090,25,5:30am - 2:00pm,5:30am - 1:30 pm,6:00am - 10:00am,6:00am - 10:00am,Marcelo Tejada,"Thomas Farnham, M.D.",34.0378717844555,-117.95261922877,Los Angeles County
44,-118.0796715,33.9019020000001,45,Western Pacific Med-Corp., 19-114 ,,233M,"11902 Rosecrans Boulevard, Suites A & D",Norwalk,CA,90650,(562) 929-7188,275,5:00am - 1:45pm,5:00am - 9:45am; 10:30am - 12:00pm,5:00am - 9:00am,5:00am - 8:30am,Mona Taylor,"Raaga Iskarous, M.D.",33.901902,-118.0796715,Los Angeles County
45,-118.264824,33.9981300000001,46,"BAART Behavioral Health Services, Inc.", 19-048D ,BAART Programs Southeast,221M,4920 South Avalon Boulevard,Los Angeles,CA,90011,(323) 235-5035,25,5:30am - 2:00pm ,5:30am - 1:30pm ,6:30am - 10:30am,6:30am - 10:30am,Mahshid M. Reaves,"David De la Loza, M.D.",33.99813,-118.265212501212,Los Angeles County
46,-118.264824,33.9981300000001,47,"Addiction Research and Treatment, Inc.", 19-048 ,BAART Programs Southeast,199M,4920 South Avalon Boulevard,Los Angeles,CA,90011,(323) 235-5035,525,5:30am - 2:00pm ,5:30am - 1:30pm ,6:30am - 10:30am,6:30am - 10:30am,Mahshid M. Reaves,"David  De La Loza, M.D.",33.99813,-118.265212501212,Los Angeles County
47,-118.450026,34.2423180000001,48,Western Pacific RE-HAB, 19-121 ,,260M,9462 Van Nuys Boulevard,Panorama,CA,91402,(818) 891-8555,130,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Nancy Calzada,"Daryoosh Sami, M.D.",34.242318,-118.450203528709,Los Angeles County
48,-118.138372542,34.706854198,49,Western Pacific Med-Corp., 19-116 ,,240M,45335 Sierra Highway,Lancaster,CA,93534,(661) 949-8599,350,5:45 - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Rachel Revai,"Sambiz Amini, M.D.",34.7068541983242,-118.1383725419,Los Angeles County
49,-118.138372542,34.706854198,50,Western Pacific RE-HAB, 19-122 ,,261M,45335 Sierra Highway,Lancaster,CA,93534,(661) 949-8599,120,5:45 - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Rachel Revai,"Sambiz Amini, M.D.",34.7068541983242,-118.1383725419,Los Angeles County
50,-118.534392,34.2021330000001,51,Western Pacific RE-HAB, 19-123 ,,262M,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,CA,91335,(818) 705-5561,80,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Erica Tapia,"Daryoosh Sami, M.D.",34.2021273003058,-118.534757367159,Los Angeles County
51,-118.0796715,33.9019020000001,52,Western Pacific RE-HAB, 19-124 ,,259M,"11902 Rosecrans Boulevard, Suites A & D",Norwalk,CA,90650,(562) 929-7188,80,5:00am - 1:45pm,5:00am - 12:00pm,5:00am - 9:00am,5:00am - 8:30am,Mona Taylor,"Raaga Iskarous, M.D.",33.901902,-118.0796715,Los Angeles County
52,-118.263075126,34.134734592,53,Western Pacific RE-HAB, 19-125 ,,258M,"4544 San Fernando Road, Suite 201",Glendale,CA,91204,(818) 240-8843,80,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Shirley Poorawood,"Sambiz Amini, M.D.",34.1347345923626,-118.263075125826,Los Angeles County
53,-117.890150704,34.1146800000001,54,Tavarua Medical Rehabilitation Services, 19-126 ,,257M,474 S. Citrus Avenue,Azusa,CA,91702,(626) 858-9500,210,5:30am - 9:30am; 10:00am - 2:00pm,5:30am - 9:30am; 10:00am - 1:00pm,7:00am - 11:00am,7:00am - 9:00am,Phyllis Calderon,"Michael Yadegari, M.D.",34.11468,-117.890150704301,Los Angeles County
54,-118.268559,34.065684,55,"Addiction Research and Treatment, Inc.", 19-115 ,BAART Programs Beverly,020M,1926 West Beverly Boulevard,Los Angeles,CA,90057,(213) 353-1140,850,5:30am - 1:30pm,5:30am - 10:00am; 11:00am -12:30pm ,7:00am - 11:00am,7:00am - 11:00am,Alfredo Morales,"David De la Loza, M.D.",34.0658209602979,-118.268498147383,Los Angeles County
55,-118.193364,33.7985370000001,56,West County Medical Corporation, 19-128 ,,255M,"2272 Pacific Avenue, Suite A",Long Beach,CA,90806,(562) 427-8018,325,6:00am - 10:00am; 11:00am - 2:30pm,6:00am - 10:00am; 11:00am - 1:30pm,6:00am - 8:00am,6:00am - 8:00am,Vanessa Romero,"Michael Yadegari, M.D.",33.798537,-118.193640518986,Los Angeles County
56,-118.344618,33.8948730000001,57,El Dorado Community Service Center, 19-136 ,,306M,4023 Marine Avenue,Lawndale,CA,90260,(310) 675-9555,250,6:00am - 10:00am; 11:00am - 2:30pm,6:00am - 10:00am; 11:00am - 1:30pm,7:00am - 11:00am,7:00am - 8:00am,Dennise Andrade,"Michael Yadegari, M.D.",33.8946794618557,-118.344618,Los Angeles County
57,-118.528953048,34.384568304,58,El Dorado Community Service Center, 19-137 ,,305M,24625 Arch Street,Newhall,CA,91321,(661) 288-2644,200,5:30am - 9:30am,5:30am - 9:00am,7:30am - 8:30am; Closed Sunday,7:30am - 8:30am; Closed Sunday,Kristin Reynolds,"Michael Yadegari, M.D.",34.3845683038343,-118.528953048195,Los Angeles County
58,-118.268559,34.065684,59,"BAART Behavioral Health Services, Inc.", 19-115D ,BAART Programs Beverly,248M,1926 West Beverly Boulevard,Los Angeles,CA,90057,(213) 353-1140,30,5:30am - 1:30 pm,5:30am - 12:30pm,7:00am - 11:00am,7:00am - 11:00am,Alfredo Morales,"David De la Loza, M.D.",34.0658209602979,-118.268498147383,Los Angeles County
59,-118.4455755,34.1865,60,Western Pacific Med-Corp., 19-138 ,,322M,14332 Victory Boulevard,Van Nuys,CA,91401,(818) 989-1996,275,5:45am - 2:30pm,5:45am - 9:30am; 10:15am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Arthur Poordawood,"Daryoosh Sami, M.D.",34.1866455098391,-118.4455755,Los Angeles County
60,-118.396287,34.1587890000001,61,Western Pacific Med-Corp., 19-139 ,,321M,4838 Laurel Canyon Boulevard,North Hollywood,CA,91607,(818) 506-4455,275,5:45am - 2:30pm,5:45am - 1:00pm,5:45am - 9:45am,5:45am - 9:30am,Kimberly Ann Millard,"Daryoosh Sami, M.D.",34.158789,-118.396462517052,Los Angeles County
61,-118.346382,34.047945,62,American Health Services LLC, 19-140 ,,314M,5015 Pico Boulevard,Los Angeles,CA,90019,(323) 653-1677,150,6am - 10:00am; 11:00am - 2:30pm ,6am - 10:00am; 11:00am - 1:30pm ,8:30am - 9:30am,8:30am - 9:30am,Ramona Fluellen,"Michael Yadegari, M.D.",34.0478148290437,-118.346389711351,Los Angeles County
62,-118.4667525,34.1843850000001,63,American Health Services LLC, 19-143 ,,318M,"6265 Sepulveda Boulevard, Suite 9",Van Nuys,CA,91411,(818) 779-0555,250,5:30am - 9:00am; 10:00am - 2:00pm,5:30am - 9:00am; 10:00am - 1:00pm,7:00am - 11:00am,7:00am - 11:00am,Kristin Reynolds,"Michael Yadegari, M.D.",34.1843764504588,-118.466215974378,Los Angeles County
63,-118.4641425,33.9993630000001,64,American Health Services LLC, 19-142 ,,315M,717 Lincoln Boulevard,Los Angeles,CA,90291,(310) 399-9883,200,5:00am - 1:30pm,5:00am - 12:30 pm,9:30am - 11:00am,9:30am - 11:00am,Vanessa Romero,"Michael Yadegari, M.D.",33.999363,-118.4641425,Los Angeles County
64,-118.1887155,33.9172290000001,65,"Addiction Research and Treatment, Inc.", 19-147 ,BAART Programs Lynwood,205M,11682 Atlantic Avenue,Lynwood,CA,90262,(310) 537-5883,300,5:30am - 2:00pm,5:30am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Robert Trevino,"Thomas Farnham, M.D.",33.917337378008,-118.188967543828,Los Angeles County
65,-118.1887155,33.9172290000001,66,"BAART Behavioral Health Services, Inc.", 19-147D ,BAART Programs Lynwood,205M,11682 Atlantic Avenue,Lynwood,CA,90262,(310) 537-5883,15,5:30am - 2:00pm,5:30am - 1:30pm,6:00am - 10:00am,6:00am - 10:00am,Robert Trevino,"Thomas Farnham, M.D.",33.917337378008,-118.188967543828,Los Angeles County
66,-118.072323,33.834006,67,American Health Services LLC, 19-145 ,,326M,21505 Norwalk Boulevard,Hawaiian Gardens,CA,90716,(562) 916-7581,300,5am - 9:00am; 10:00am - 1:30pm,5am - 9:00am; 10:00am - 12:30pm,8:30am - 9:30am,8:30am - 9:30am,Mona Grimmitt,"Michael Yadegari, M.D.",33.834006,-118.072323,Los Angeles County
67,-118.0800675,34.5794760000001,68,American Health Services LLC, 19-141 ,,316M,"2720 East Palmdale Boulevard, Suites 129, 130 & 131",Palmdale,CA,93550,(661) 947-3333,215,6:00am - 2:30pm,6:00am - 1:30pm,6:00am - 11:00am,6:00am - 10:00am,Brandie O'Brien,"Michael Yadegari, M.D.",34.5801651600789,-118.080071439494,Los Angeles County
68,-118.539765,34.179471,69,"Tarzana Treatment Center, Inc.", 19-152 ,,294M,18646 Oxnard Street,Tarzana,CA,91356,(818) 996-1051,335,5:30am - 4:00pm,5:30am - 1:30pm,7:00am - 11:00am,7:00am - 11:00am,Jose Salazar,"E. Duane Carmalt, M.D.",34.1799361118071,-118.539750499308,Los Angeles County
69,-118.400076,34.2282060000001,70,"Narcotic Addiction Treatment Agency, Inc.", 19-150 ,BAART Programs Sun Valley,353M,8741 Laurel Canyon Boulevard,Sun Valley,CA,91352,(818) 768-5525,200,6:00am - 2:30 pm,6:00am - 2:00 pm,7:00am - 11:00am,7:00am - 11:00am,Lela Saenz,"Darrell Webb, M.D.",34.2283635797797,-118.399926550666,Los Angeles County
70,-117.9068625,34.0775100000001,71,"Aegis Treatment Centers, LLC", 19-153 ,,142M,1825 E. Thelborn Street,West Covina,CA,91791,(626) 915-3844,195,5:00am - 1:30pm,5:00am - 9:00am; 10:00am - 12:30pm,6:00am - 10:00am,6:00am - 10:00am; Closed Sunday,Jennifer Bozarth,"Daniel Radnia, M.D.",34.0773214909976,-117.9068625,Los Angeles County
71,-118.0836,33.9983100000001,72,El Dorado  Community Service Center, 19-148 ,,346M,"5200 San Gabriel Place, Suites B & C",Pico Rivera,CA,90660,(562) 222-1331,300,5:30am - 2:00pm,5:30am - 1:00pm,8:30am - 9:30am,8:30am - 9:30am,Maria Garcia,"Michael Yadegari, M.D.",33.9984184618271,-118.08401984953,Los Angeles County
