facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,other_details,phone_number
Ujima Family Recovery Services,NON,12960 San Pablo Avenue,RICHMOND,Contra Costa County,CA,94805,0,37.94871654,-122.331428,Women Only,(510) 215-2280 
Ujima Family Recovery Services,RES,1916 Church Lane,SAN PABLO,Contra Costa County,CA,94806,3,37.95746313,-122.3414322,Co-Ed,(510) 236-3134 
Contra Costa County Health Services Department,RES,4645 Pacheco Boulevard,MARTINEZ,Contra Costa County,CA,94553,40,38.00367717,-122.0847985,Men Only,(925) 646-9270 
R.E.A.C.H. Project,NON,3385 Main Street,OAKLEY,Contra Costa County,CA,94561,0,37.997442,-121.71537,Youth/Adolescent,(925) 754-3673 
R.E.A.C.H. Project,NON,1915 D Street,ANTIOCH,Contra Costa County,CA,94509-2571,0,38.00383849,-121.8099985,Co-Ed,(925) 754-3673 
"J. Cole Recovery Homes, Inc.",RES,1408 A Street,ANTIOCH,Contra Costa County,CA,94509,16,38.00775044,-121.806063,Men Only,(925) 978-2873 
Sierra Health And Wellness Centers Llc,RES-DETOX,2449 Pacheco Street,CONCORD,Contra Costa County,CA,94520,22,37.98022683,-122.0315654,Co-Ed,(530) 854-4119 
Diablo Valley Drug And Alcohol Services Inc.,NON-DETOX,100 Park Place,SAN RAMON,Contra Costa County,CA,94583,0,37.77231436,-121.9898318,Co-Ed,(925) 289-1430 
Ujima Family Recovery Services,NON,180 East Leland Road,PITTSBURG,Contra Costa County,CA,94565,0,38.01161888,-121.8891158,Co-Ed,(925) 427-9100 
R.E.A.C.H. Project,NON,101 Sandcreek Road,BRENTWOOD,Contra Costa County,CA,94513,0,37.94679966,-121.6981062,Co-Ed/Youth,(925) 666-8460 
"Westcare California, Inc.",RES-DETOX,208 23Rd Street,RICHMOND,Contra Costa County,CA,94804,25,37.93449868,-122.3475401,Men Only,(559) 251-4800 
"Sky Lake Recovery Center, Llc",RES-DETOX,586 Glorene Avenue,SOUTH LAKE TAHOE,El Dorado County,CA,96150,70,38.92011573,-120.0213424,Co-Ed,(831) 453-1029 
Elda,NON,2334 Buchanan Road,ANTIOCH,Contra Costa County,CA,94509,0,37.999152,-121.839516,Co-Ed,(925) 303-7310 
"Progress House, Inc.",RES,838 Beach Court,LOTUS,El Dorado County,CA,95651,24,38.80769431,-120.9071196,Men Only,(530) 626-7252 
"Progress House, Inc.",NON,2844 Coloma Street,PLACERVILLE,El Dorado County,CA,95667,0,38.73242059,-120.8065749,Co-Ed,(530) 642-1715 
"Progress House, Inc.",RES,5494 Pony Express Trail,CAMINO,El Dorado County,CA,95709,16,38.74967572,-120.6163954,Women/Children,(530) 644-3758 
"My Time Recovery, Llc",RES-DETOX,1107 W. Rialto Avenue,FRESNO,Fresno County,CA,93705,6,36.802593,-119.8244565,Co-Ed,(559) 231-2700 
"Progress House, Inc.",RES,5607 Mount Murphy Road,GARDEN VALLEY,El Dorado County,CA,95633,20,38.83702206,-120.8761431,Men Only,(530) 333-9460 
"My Time Recovery, Llc",RES-DETOX,1015 E. Indianapolis Avenue,FRESNO,Fresno County,CA,93704,6,36.79946218,-119.7981476,Co-Ed,(559) 930-7123 
"My Time Recovery, Llc",NON,83  East Shaw Avenue,FRESNO,Fresno County,CA,93710,0,36.80841452,-119.788722,Co-Ed,(559) 231-2700 
Shamanic Living Center,NON,484 Pleasant Valley Road,DIAMOND SPRINGS,El Dorado County,CA,95619,0,38.69380588,-120.8180349,Co-Ed,(530) 344-7633 
South Lake Tahoe Recovery And Rehabilitation Llc,NON,2494 Lake Tahoe Blvd,LAKE TAHOE,El Dorado County,CA,96150,0,38.9240365,-119.9881125,Co-Ed,(831) 453-1026 
"Fresno County Hispanic Commission On Alcohol And Drug Abuse Services, Inc.",RES,1414 West Kearney Boulevard,FRESNO,Fresno County,CA,93706,12,36.72868135,-119.8279082,Men Only,(559) 485-0501 
"Sierra Tribal Consortium, Inc.",RES-DETOX,610 West Mckinley Avenue,FRESNO,Fresno County,CA,93728,22,36.76481384,-119.8191186,Co-Ed,(559) 445-2691 
"Central Valley Behavioral Health, Llc",NON,1781 East Fir Avenue,FRESNO ,Fresno County,CA,93720,0,36.83911078,-119.7502976,Youth/Adolescent,(559) 593-9801 
"Comprehensive Addiction Programs, Incorporated",RES-DETOX,2445 W Whitesbridge Ave,FRESNO,Fresno County,CA,93706,85,36.735696,-119.8391619,Co-Ed,(553) 492-1373 
Kings View,NON,1822 Jensen Avenue,SANGER,Fresno County,CA,93657,0,36.707472,-119.563479,Co-Ed,(559) 875-6300 
"Sierra Meadows Behavioral Health, A Professional Psychology Corporation",NON,1781 East Fir Street,FRESNO,Fresno County,CA,93720,0,36.83911078,-119.7502976,Co-Ed,(559) 593-9801 
"Westcare California, Inc.",NON,611 East Belmont,FRESNO,Fresno County,CA,93701,0,36.75042449,-119.803734,Co-Ed,(559) 251-3420 
"Turning Point Of Central California, Inc.",RES,2731 West Olive Avenue,FRESNO,Fresno County,CA,93728,30,36.75740248,-119.8428345,Co-Ed,(559) 233-5096 
"Westcare California, Inc.",RES-DETOX,2772 South Martin Luther King Boulevard,FRESNO,Fresno County,CA,93706,198,36.700272,-119.800746,Co-Ed,(559) 265-4800 
"Mental Health Systems, Inc.",NON, 2550 W. Clinton Avenue,FRESNO,Fresno County,CA,93705,0,36.772677,-119.840517,Co-Ed,(858) 573-2600 
"Mental Health Systems, Inc.",RES-DETOX,2550 West Clinton Avenue,FRESNO,Fresno County,CA,93705-4201,95,36.772677,-119.840517,Women Only,(858) 573-2600 
"Fresno New Connection, Inc.",NON,4411 North Cedar Avenue,FRESNO,Fresno County,CA,93726,0,36.79798855,-119.7543607,Co-Ed,(559) 248-1548 
"Turning Point Of Central California, Inc.",NON,3636 North First Street,FRESNO,Fresno County,CA,93726-6818,0,36.78371888,-119.7723898,Co-Ed,(559) 225-1464 
"Mental Health Systems, Inc.",NON,3333 E American Avenue,FRESNO,Fresno County,CA,93725,0,36.66340244,-119.7304798,Co-Ed,(559) 600-4876 
"Universal Health Network And Systems, Inc.",RES-DETOX,625 East Keats Avenue,FRESNO,Fresno County,CA,93710-7000,12,36.81034109,-119.7760135,Co-Ed/Children,(559) 252-5150 
Promesa Behaviorial Health,NON,7120 N. Marks Avenue,FRESNO,Fresno County,CA,93711,0,36.839259,-119.846007,Co-Ed,(559) 981-5534 
"Delta Care, Inc.",NON,4705 N Sonora Avenue,FRESNO,Fresno County,CA,93722,0,36.806112,-119.86623,Co-Ed,(559) 289-6785 
"Touchstone Recovery Center, Inc.",NON,724 Medical Center Drive East,CLOVIS,Fresno County,CA,93611,0,36.84110532,-119.6587432,Co-Ed,(559) 298-6711 
"Touchstone Recovery Center, Inc.",NON-DETOX,7065 N. Maple,FRESNO,Fresno County,CA,93720,0,36.83862,-119.7467775,Co-Ed,(559) 298-6711 
"True North Detox, Llc",NON,2121 Herndon Ave,CLOVIS,Fresno County,CA,93611,0,36.83898,-119.6771625,Dual Diagnosis,(844) 244-7837 
"Central California Recovery, Incorporated",NON,1204 W. Shaw Avenue,FRESNO,Fresno County,CA,93711,0,36.80850547,-119.8130887,Co-Ed,(559) 681-1947 
"Satnam S. Atwal, Md",RES-DETOX,7361 North Sierra Vista ,FRESNO,Fresno County,CA,93720,6,36.84303,-119.742767,Co-Ed,(559) 298-5111 
"Aspire Counseling Services, Inc.",NON,7498 North Remington Avenue,FRESNO,Fresno County,CA,93711,0,36.846,-119.803086,Co-Ed,(559) 777-6797 
A New Awakening Of The San Joaquin,RES-DETOX,1121 S Dee Ann Ave,FRESNO,Fresno County,CA,93727,6,36.720117,-119.6665265,Dual Diagnosis,(559) 464-8158 
New Perceptions North Llc,NON-DETOX,5084 N. Fruit Ave.,FRESNO,Fresno County,CA,93711,0,36.809694,-119.8160685,Co-Ed,(818) 741-8837 
"Total Life Change, Inc",NON,1300 E Shaw Ave,FRESNO,Fresno County,CA,93710,0,36.80871662,-119.7658915,Dual Diagnosis,(559) 475-9779 
North Coast Substance Abuse Council,RES,1205 Myrtle Avenue,EUREKA,Humboldt County,CA,95501,20,40.79877921,-124.1468055,Co-Ed,(707) 445-0869 
"Northern Valley Indian Health, Inc.",NON,207 North Butte Street,WILLOWS,Glenn County,CA,95988,0,39.52213175,-122.1954166,Co-Ed,(530) 934-4641 
"Humboldt Recovery Center, Incorporated",RES-DETOX,1116 9Th Street,EUREKA,Humboldt County,CA,95501,57,40.79953176,-124.1584049,Co-Ed,(707) 443-4237 
"True North Detox, Llc",RES-DETOX,21780 Oak Hill Lane,CLOVIS,Fresno County,CA,93619,30,36.96791331,-119.4658891,Co-Ed,(559) 299-5100 
"Alcohol/Drug Care Service'S, Inc.",RES-DETOX,2413 2Nd Street,EUREKA,Humboldt County,CA,95501,56,40.8063485,-124.145558,Co-Ed,(707) 269-9590 
County Of Humboldt,NON,2910 H Street,EUREKA,Humboldt County,CA,95501,0,40.78177275,-124.1613748,Women/Children,(707) 441-5220 
"United Indian Health Services, Inc.",NON,1600 Weeot Way,ARCATA,Humboldt County,CA,95521,0,40.89807904,-124.092387,Co-Ed,(707) 825-5000 
"Foundations In Recovery, Inc.",NON,1679 Adams Avenue,EL CENTRO,Imperial County,CA,92243,0,32.7964555,-115.5736212,Co-Ed,(760) 970-4426 
"Foundations In Recovery, Inc.",RES-DETOX,1687 Southwind Drive,EL CENTRO ,Imperial County,CA,92243,6,32.77467451,-115.5734192,Co-Ed,(760) 970-4426 
Humboldt County Alcohol And Other Drug Programs,NON,720 Wood Street,EUREKA,Humboldt County,CA,95501,0,40.7811845,-124.1607201,Co-Ed,(707) 476-4054 
Singing Trees Recovery Center,RES-DETOX,2061 Highway 101,GARBERVILLE,Humboldt County,CA,95542,20,40.02777996,-123.7935873,Co-Ed,(707) 247-3495 
One Door - Community Resource And Recovery Center,NON-DETOX,1326 30Th Street,BAKERSFIELD,Kern County,CA,93301,0,35.388099,-119.0182275,Co-Ed,(661) 371-2652 
Robert B. Dibble,NON,375 East Line Street,BISHOP,Inyo County,CA,93514,0,37.36149749,-118.3897205,Co-Ed,(760) 873-4357 
County Of Imperial,NON-DETOX,2695 S. 4Th Street,EL CENTRO,Imperial County,CA,92243,0,32.76935314,-115.5520675,Co-Ed,(442) 265-7650 
Inyo County Health And Human Services,NON,162 J Grove Street,BISHOP,Inyo County,CA,93514,0,37.3645915,-118.396008,Co-Ed,(760) 873-6533 
Kern County Hispanic Commission On Alcohol And Drug Abuse Services,NON,1304 L Street,BAKERSFIELD,Kern County,CA,93301,0,35.36953666,-119.0164361,Co-Ed,(661) 634-9877 
"Community Services Organization, Behavioral Health Programs",NON,1124 Baker Street,BAKERSFIELD,Kern County,CA,93305,0,35.38059264,-118.9915776,Co-Ed,(661) 327-9376 
Bakersfield Recovery Services Inc.,RES,708 Lincoln Street,BAKERSFIELD,Kern County,CA,93305,14,35.38712338,-118.9884315,Women/Children,(661) 869-1795 
Bakersfield Recovery Services Inc.,RES-DETOX,600 Bernard Street,BAKERSFIELD,Kern County,CA,93305,54,35.390502,-118.9888785,Co-Ed,(661) 325-1817 
"Community Services Organization, Behavioral Health Programs",NON,10420 Main Street,LAMONT,Kern County,CA,93241,0,35.26035467,-118.9145475,Co-Ed,(661) 845-3753 
"Turning Point Of Central California, Inc.",RES,1100 Union Avenue,BAKERSFIELD,Kern County,CA,93307,100,35.367687,-119.001879,Co-Ed,(661) 861-6111 
"Westcare California, Inc.",RES,2901 South H Street,BAKERSFIELD,Kern County,CA,93304,41,35.328573,-119.0213555,Co-Ed,(661) 398-4303 
"Westcare California, Inc.",NON,2909 South H Street,BAKERSFIELD,Kern County,CA,93304,0,35.328051,-119.021358,Co-Ed,(661) 398-4303 
"Mental Health Systems, Inc.",COR,1932 Jessie Street,BAKERSFIELD,Kern County,CA,93305-4114,0,35.38517206,-118.9717606,Women Only,(661) 447-4666 
"Action Family Counseling, Inc.",NON,3801 Buck Owens Boulevard,BAKERSFIELD,Kern County,CA,93308,0,35.394885,-119.043837,Co-Ed,(661) 325-4357 
"Action Family Counseling, Inc.",RES-DETOX,407 Helen Way,BAKERSFIELD,Kern County,CA,93307,22,35.27085074,-119.0085973,Co-Ed,(800) 367-8336 
"Synergy Lifestyle Center, Inc.",NON,7910 Downing Avenue,BAKERSFIELD,Kern County,CA,93308,0,35.39064428,-119.0889071,Co-Ed,(661) 878-9930 
"Aspire Counseling Services, Inc.",NON,9830 Brimhall Road,BAKERSFIELD,Kern County,CA,93312,0,35.370297,-119.1113685,Co-Ed,(661) 829-7300 
County Of Kern,NON,5121 Stockdale Highway,BAKERSFIELD,Kern County,CA,93309,0,35.353089,-119.0584485,Co-Ed,(661) 868-5134 
Bakersfield American Indian Health Project,NON,1617 30Th Street,BAKERSFIELD,Kern County,CA,93301,0,35.38667816,-119.0204777,Co-Ed,(661) 327-4030 
"Legacy Village, Llc",RES,220 Hans Place,NIPOMO,San Luis Obispo County,CA,93444,12,35.05705897,-120.487415,Co-Ed,(661) 846-2745 
New Perceptions North Llc,RES-DETOX,13565 Grangeville Blvd.,HANFORD,Kings County,CA,93230,6,36.3425595,-119.701152,Co-Ed,(818) 741-8837 
"Champions Recovery Alternative Programs, Inc.",NON,311 North Douty Street,HANFORD,Kings County,CA,93230-3951,0,36.32812248,-119.646005,Youth/Adolescent,(559) 583-9300 
"Champions Recovery Alternative Programs, Inc.",RES-DETOX,11517 15Th Avenue,LEMOORE,Kings County,CA,93245,49,36.30657681,-119.7270279,Men Only,(559) 583-7800 
"Champions Recovery Alternative Programs, Inc.",RES-DETOX,222 West Keith Street,HANFORD,Kings County,CA,93230,15,36.3376515,-119.6486002,Women/Children,(559) 583-7800 
Advanced Recovery Llc ,RES-DETOX,512 Stable Street,BAKERSFIELD,Kern County,CA,93307,8,35.27028,-119.008305,Co-Ed,(661) 325-4357 
"Westcare California, Inc.",NON,410 East 7Th Street,HANFORD,Kings County,CA,93230,0,36.32746132,-119.6404528,Youth/Adolescent,(559) 251-4800 
Lake County Alcohol And Other Drug Services,NON,6302 13Th Avenue,LUCERNE,Lake County,CA,95458,0,39.08777655,-122.7925941,Co-Ed,(707) 274-9101 
Lake County Alcohol And Other Drug Services,NON,7000 South Center Drive,CLEARLAKE,Lake County,CA,95422,0,38.9335928,-122.6194341,Co-Ed,(707) 994-7090 
"Redwood Community Services, Inc.",RES,675 First Street,UPPER LAKE,Lake County,CA,95485,8,39.1642625,-122.9031405,Women/Children,(707) 275-8776 
Hilltop Recovery Services,NON,6300 East Highway 20,LUCERNE,Lake County,CA,95458,0,39.086604,-122.792328,Co-Ed,(707) 274-5610 
Los Angeles County Department Of Public Health,RES,30500 Arrastre Canyon Road,ACTON,Los Angeles County,CA,93510,166,34.449507,-118.198485,Co-Ed,(661) 269-0062 
San Fernando Recovery Center,RES,792 Griswold Avenue,SAN FERNANDO,Los Angeles County,CA,91340-2105,42,34.28843009,-118.427539,Men Only,(818) 809-8868 
Alcoholism Center For Women,NON,1147 South Alvarado Street,LOS ANGELES,Los Angeles County,CA,90006,0,34.049142,-118.281906,Co-Ed,(213) 381-8500 
Alcoholism Center For Women,RES,1135 South Alvarado Street,LOS ANGELES,Los Angeles County,CA,90006,32,34.0492534,-118.2814555,Women Only,(213) 381-8500 
The Beacon House Association Of San Pedro,RES,132 W 10 Street,SAN PEDRO,Los Angeles County,CA,90731,28,33.73515632,-118.2810225,Men Only,(310) 514-4940 
"Behavioral Health Services, Inc.",NON-DETOX,6838 West Sunset Boulevard,HOLLYWOOD,Los Angeles County,CA,90028,0,34.09794054,-118.340019,Co-Ed,(323) 461-3161 
Comfort Recovery Iop Llc,NON-DETOX,30851 Agoura Road,AGOURA HILLS,Los Angeles County,CA,91301,0,34.145505,-118.7928675,Co-Ed,(818) 579-9687 
"Behavioral Health Services, Inc.",RES-DETOX,12917 Cerise Avenue,HAWTHORNE,Los Angeles County,CA,90250,35,33.91478234,-118.3325361,Women/Children,(310) 675-4431 
"Rise Luxury Rehab, Llc",RES-DETOX,27551 Pacific Coast Highway,MALIBU,Los Angeles County,CA,90265,6,34.028829,-118.775655,Co-Ed,(310) 560-1530 
"Behavioral Health Services, Inc.",NON-DETOX,1318A North Avalon Boulevard,WILMINGTON,Los Angeles County,CA,90744,0,33.78948917,-118.2631366,Co-Ed,(310) 549-2710 
"Behavioral Health Services, Inc.",NON-DETOX,15519 Crenshaw Boulevard,GARDENA,Los Angeles County,CA,90249,0,33.88971663,-118.3265988,Co-Ed,(310) 679-9031 
"Behavioral Health Services, Inc.",RES-DETOX,2501 West El Segundo Boulevard,HAWTHORNE,Los Angeles County,CA,90250,58,33.91647455,-118.3206533,Co-Ed,(323) 754-2816 
Hilltop Recovery Services,RES,14715 E State Highway 20,CLEARLAKE OAKS,Lake County,CA,95423,38,39.01440139,-122.6372851,Men Only,(707) 998-1800 
"Behavioral Health Services, Inc.",NON-DETOX,3421 E. Olympic Boulevard,LOS ANGELES,Los Angeles County,CA,90023,0,34.01881032,-118.2044416,Co-Ed,(323) 262-1786 
"Behavioral Health Services, Inc.",DPH,1775 Chestnut Avenue,LONG BEACH,Los Angeles County,CA,90813,0,33.78936371,-118.196426,Co-Ed,(310) 679-9126 
"Behavioral Health Services, Inc.",DPH,2180 West Valley Boulevard,POMONA,Los Angeles County,CA,91768,0,34.06129995,-117.7900863,Co-Ed,(909) 865-2336 
"Behavioral Health Services, Inc.",NON-DETOX,4099 North Mission Road,LOS ANGELES,Los Angeles County,CA,90032,0,34.07629729,-118.1949542,Co-Ed,(323) 221-1746 
"Behavioral Health Services, Inc.",NON,1334 Post Avenue,TORRANCE,Los Angeles County,CA,90501,0,33.83524317,-118.3175391,Co-Ed,(310) 328-1460 
"Behavioral Health Services, Inc.",NON-DETOX,2180 West Valley Boulevard,POMONA,Los Angeles County,CA,91768,0,34.06129995,-117.7900863,Co-Ed,(310) 679-9126 
"Behavioral Health Services, Inc.",RES-DETOX,2180 West Valley Boulevard,POMONA,Los Angeles County,CA,91768,123,34.06129995,-117.7900863,Co-Ed,(909) 865-2336 
"Behavioral Health Services, Inc.",NON-DETOX,590 West 8Th Street,SAN PEDRO,Los Angeles County,CA,90731,0,33.73699396,-118.2898983,Co-Ed,(310) 831-2358 
The Gooden Center,RES,191 North El Molino Avenue,PASADENA,Los Angeles County,CA,91101,31,34.14917474,-118.1369283,Co-Ed,(626) 356-0078 
Focus On Today,NON,135 North Victory Boulevard,BURBANK,Los Angeles County,CA,91502,0,34.174494,-118.317375,Co-Ed,(805) 341-2482 
"Behaviorial Health Services, Inc.",RES-DETOX,341 East 6Th Street,LONG BEACH,Los Angeles County,CA,90802,27,33.774381,-118.188207,Women Only,(562) 435-7350 
"Southern California Alcohol And Drug Programs, Inc.",RES-DETOX,8332 Iowa Street,DOWNEY,Los Angeles County,CA,90241,47,33.93712573,-118.1334557,Men Only,(562) 923-7894 
"Southern California Alcohol And Drug Programs, Inc.",RES-DETOX,10603 Downey Avenue,DOWNEY,Los Angeles County,CA,90241,24,33.946335,-118.129833,Women/Children,(562) 622-2268 
"Southern California Alcohol And Drug Programs, Inc.",RES-DETOX,16314 Cornuta Avenue,BELLFLOWER,Los Angeles County,CA,90706,30,33.88571162,-118.1198028,Women/Children,(562) 461-9272 
"Southern California Alcohol And Drug Programs, Inc.",NON,11500 Paramount Boulevard,DOWNEY,Los Angeles County,CA,90241,0,33.940062,-118.139409,Co-Ed,(562) 923-4545 
Casa De Las Amigas,NON,169 N. Oak Knoll Avenue,PASADENA,Los Angeles County,CA,91101,0,34.148763,-118.1361375,Dual Diagnosis,(626) 792-2770 
Casa De Las Amigas,RES,160 North El Molino Avenue,PASADENA,Los Angeles County,CA,91101,22,34.1487177,-118.1368497,Women Only,(626) 792-2770 
