Column,facility_name,facility_type,facility_clean,address,city,county,state,zip,capacity,latitude,longitude,phone_number,other_details,full_address
14,"Humanistic Alternatives to Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,"10850 MacArthur Boulevard, Suite 200",Oakland,ALAMEDA,CA,94605,500,37.741417,-122.1498028,(510) 875-2300,,"10850 MacArthur Boulevard, Suite 200, Oakland, ALAMEDA COUNTY, CA, 94605"
15,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,2158 Solano Way,Concord,CONTRA COSTA,CA,94520,300,37.98984147,-122.0426656,(925) 690-5710,,"2158 Solano Way, Concord, CONTRA COSTA COUNTY, CA, 94520"
16,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,1235 E Street,Fresno,FRESNO,CA,93706,700,36.73263033,-119.7991942,(559) 268-6261,,"1235 E Street, Fresno, FRESNO COUNTY, CA, 93706"
17,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,1235 E Street,Fresno,FRESNO,CA,93706,25,36.73263033,-119.7991942,(559) 268-6261,,"1235 E Street, Fresno, FRESNO COUNTY, CA, 93706"
18,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,539 North Van Ness Avenue,Fresno,FRESNO,CA,93728,700,36.751194,-119.7989285,(559) 266-9581,,"539 North Van Ness Avenue, Fresno, FRESNO COUNTY, CA, 93728"
19,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,539 North Van Ness Avenue,Fresno,FRESNO,CA,93728,20,36.751194,-119.7989285,(559) 266-9581,,"539 North Van Ness Avenue, Fresno, FRESNO COUNTY, CA, 93728"
20,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,3103 East Cartwright Avenue,Fresno,FRESNO,CA,93725,225,36.676162,-119.7344779,(559) 498-7100,,"3103 East Cartwright Avenue, Fresno, FRESNO COUNTY, CA, 93725"
21,"MedMark Treatment Centers - Fresno West, Inc.",NARCOTICS,NARCOTICS,1310 M Street,Fresno,FRESNO,CA,93721,630,36.73928425,-119.7905394,(559) 264-2700,,"1310 M Street, Fresno, FRESNO COUNTY, CA, 93721"
22,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,3707  E. Shields Avenue,Fresno,FRESNO,CA,93726,560,36.7796895,-119.763189,(559) 229-9040,,"3707  E. Shields Avenue, Fresno, FRESNO COUNTY, CA, 93726"
23,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,3103 East Cartwright Avenue,Fresno,FRESNO,CA,93725,10,36.676162,-119.7344779,(559) 498-7100,,"3103 East Cartwright Avenue, Fresno, FRESNO COUNTY, CA, 93725"
24,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,2107 1st Street,Eureka,HUMBOLDT,CA,95501,350,40.80717748,-124.148979,(707)273-6398,,"2107 1st Street, Eureka, HUMBOLDT COUNTY, CA, 95501"
25,"Imperial Valley Medical Clinic, Inc.",NARCOTICS,NARCOTICS,535 West Cesar Chavez Boulevard,Calexico,IMPERIAL,CA,92231,120,32.67021133,-115.5022091,(760) 357-6566,,"535 West Cesar Chavez Boulevard, Calexico, IMPERIAL COUNTY, CA, 92231"
26,Harmonic Solutions,NARCOTICS,NARCOTICS,"1776 Ygnacio Valley Road, #206",Walnut Creek,CONTRA COSTA,CA,94598,150,37.91651678,-122.0403777,(925) 278-1792,,"1776 Ygnacio Valley Road, #206, Walnut Creek, CONTRA COSTA COUNTY, CA, 94598"
27,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,1019 Jefferson Street,Delano,KERN,CA,93215,120,35.76952756,-119.244441,(661) 721-0463,,"1019 Jefferson Street, Delano, KERN COUNTY, CA, 93215"
28,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,1018 21st Street,Bakersfield,KERN,CA,93301,750,35.37813433,-119.0132474,(661) 861-9967,,"1018 21st Street, Bakersfield, KERN COUNTY, CA, 93301"
29,"Imperial Valley Medical Clinic, Inc.",NARCOTICS,NARCOTICS,200 South 5th Street,El Centro,IMPERIAL,CA,92243,380,32.791491,-115.5547532,(760) 482-0864,,"200 South 5th Street, El Centro, IMPERIAL COUNTY, CA, 92243"
30,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,501 W. Columbus Street and 4050 San Dimas Street,Bakersfield,KERN,CA,93301,475,35.397783,-119.0080215,(661) 328-0245,,"501 W. Columbus Street and 4050 San Dimas Street, Bakersfield, KERN COUNTY, CA, 93301"
31,American Health Services LLC,NARCOTICS,NARCOTICS,1010 1/2 South Union Avenue,Bakersfield,KERN,CA,93307,500,35.34385208,-119.0028897,(661) 321-0234,,"1010 1/2 South Union Avenue, Bakersfield, KERN COUNTY, CA, 93307"
32,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,"4544 San Fernando Road,  Suite 201",Glendale,LOS ANGELES,CA,91204,325,34.13473459,-118.2630751,(818) 240-8843,,"4544 San Fernando Road,  Suite 201, Glendale, LOS ANGELES COUNTY, CA, 91204"
33,"Aegis Treatment Centers, LLC - Medication Unit",NARCOTICS,NARCOTICS,"1111 West Inyokern Road, Suite B",Ridgecrest,KERN,CA,93555,75,35.65169051,-117.6928823,(760)301-6945,,"1111 West Inyokern Road, Suite B, Ridgecrest, KERN COUNTY, CA, 93555"
34,Western Health Community Clinics,NARCOTICS,NARCOTICS,1647 West Anaheim Street,Harbor City,LOS ANGELES,CA,90710,110,33.77869356,-118.2872087,(310) 534-5590,,"1647 West Anaheim Street, Harbor City, LOS ANGELES COUNTY, CA, 90710"
35,West County Medical Clinic,NARCOTICS,NARCOTICS,100 East Market Street,Long Beach,LOS ANGELES,CA,90805,300,33.85423201,-118.1936505,(562) 428-4222,,"100 East Market Street, Long Beach, LOS ANGELES COUNTY, CA, 90805"
36,"Narcotics Prevention Association, Inc.",NARCOTICS,NARCOTICS,"942 South Atlantic Boulevard, Suite 100",Los Angeles,LOS ANGELES,CA,90022,450,34.01924601,-118.157619,(323) 263-9700,,"942 South Atlantic Boulevard, Suite 100, Los Angeles, LOS ANGELES COUNTY, CA, 90022"
37,El Dorado Community Service Center,NARCOTICS,NARCOTICS,4450 West Century Boulevard,Inglewood,LOS ANGELES,CA,90304,175,33.945156,-118.3540005,(310) 671-0555,,"4450 West Century Boulevard, Inglewood, LOS ANGELES COUNTY, CA, 90304"
38,"Transcultural Health Development, Inc.",NARCOTICS,NARCOTICS,117 East Harry Bridges Boulevard,Wilmington,LOS ANGELES,CA,90744,300,33.7713518,-118.2609602,(310) 549-8383,,"117 East Harry Bridges Boulevard, Wilmington, LOS ANGELES COUNTY, CA, 90744"
39,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,LOS ANGELES,CA,91335,375,34.2021273,-118.5347574,(818) 705-5561,,"7232 Canby Avenue, Suite 4, 5, & 6, Reseda, LOS ANGELES COUNTY, CA, 91335"
40,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,9462 Van Nuys Boulevard,Panorama City,LOS ANGELES,CA,91402,325,34.242318,-118.4502035,(818) 891-8555,,"9462 Van Nuys Boulevard, Panorama City, LOS ANGELES COUNTY, CA, 91402"
41,Tavarua Health Services,NARCOTICS,NARCOTICS,8207 Whittier Boulevard,Pico Rivera,LOS ANGELES,CA,90660,460,34.00671276,-118.0962061,(562) 695-0737,,"8207 Whittier Boulevard, Pico Rivera, LOS ANGELES COUNTY, CA, 90660"
42,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,15229 East Amar Road,La Puente,LOS ANGELES,CA,91744,450,34.03787178,-117.9526192,(626) 855-5090,,"15229 East Amar Road, La Puente, LOS ANGELES COUNTY, CA, 91744"
43,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,15229 East Amar Road,La Puente,LOS ANGELES,CA,91744,25,34.03787178,-117.9526192,(626) 855-5090,,"15229 East Amar Road, La Puente, LOS ANGELES COUNTY, CA, 91744"
44,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,"11902 Rosecrans Boulevard, Suites A & D",Norwalk,LOS ANGELES,CA,90650,275,33.901902,-118.0796715,(562) 929-7188,,"11902 Rosecrans Boulevard, Suites A & D, Norwalk, LOS ANGELES COUNTY, CA, 90650"
45,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,4920 South Avalon Boulevard,Los Angeles,LOS ANGELES,CA,90011,25,33.99813,-118.2652125,(323) 235-5035,,"4920 South Avalon Boulevard, Los Angeles, LOS ANGELES COUNTY, CA, 90011"
46,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,4920 South Avalon Boulevard,Los Angeles,LOS ANGELES,CA,90011,525,33.99813,-118.2652125,(323) 235-5035,,"4920 South Avalon Boulevard, Los Angeles, LOS ANGELES COUNTY, CA, 90011"
47,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,9462 Van Nuys Boulevard,Panorama,LOS ANGELES,CA,91402,130,34.242318,-118.4502035,(818) 891-8555,,"9462 Van Nuys Boulevard, Panorama, LOS ANGELES COUNTY, CA, 91402"
48,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,45335 Sierra Highway,Lancaster,LOS ANGELES,CA,93534,350,34.7068542,-118.1383725,(661) 949-8599,,"45335 Sierra Highway, Lancaster, LOS ANGELES COUNTY, CA, 93534"
49,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,45335 Sierra Highway,Lancaster,LOS ANGELES,CA,93534,120,34.7068542,-118.1383725,(661) 949-8599,,"45335 Sierra Highway, Lancaster, LOS ANGELES COUNTY, CA, 93534"
50,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,"7232 Canby Avenue, Suite 4, 5, & 6",Reseda,LOS ANGELES,CA,91335,80,34.2021273,-118.5347574,(818) 705-5561,,"7232 Canby Avenue, Suite 4, 5, & 6, Reseda, LOS ANGELES COUNTY, CA, 91335"
51,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,"11902 Rosecrans Boulevard, Suites A & D",Norwalk,LOS ANGELES,CA,90650,80,33.901902,-118.0796715,(562) 929-7188,,"11902 Rosecrans Boulevard, Suites A & D, Norwalk, LOS ANGELES COUNTY, CA, 90650"
52,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,"4544 San Fernando Road, Suite 201",Glendale,LOS ANGELES,CA,91204,80,34.13473459,-118.2630751,(818) 240-8843,,"4544 San Fernando Road, Suite 201, Glendale, LOS ANGELES COUNTY, CA, 91204"
53,Tavarua Medical Rehabilitation Services,NARCOTICS,NARCOTICS,474 S. Citrus Avenue,Azusa,LOS ANGELES,CA,91702,210,34.11468,-117.8901507,(626) 858-9500,,"474 S. Citrus Avenue, Azusa, LOS ANGELES COUNTY, CA, 91702"
54,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,1926 West Beverly Boulevard,Los Angeles,LOS ANGELES,CA,90057,850,34.06582096,-118.2684981,(213) 353-1140,,"1926 West Beverly Boulevard, Los Angeles, LOS ANGELES COUNTY, CA, 90057"
55,West County Medical Corporation,NARCOTICS,NARCOTICS,"2272 Pacific Avenue, Suite A",Long Beach,LOS ANGELES,CA,90806,325,33.798537,-118.1936405,(562) 427-8018,,"2272 Pacific Avenue, Suite A, Long Beach, LOS ANGELES COUNTY, CA, 90806"
56,El Dorado Community Service Center,NARCOTICS,NARCOTICS,4023 Marine Avenue,Lawndale,LOS ANGELES,CA,90260,250,33.89467946,-118.344618,(310) 675-9555,,"4023 Marine Avenue, Lawndale, LOS ANGELES COUNTY, CA, 90260"
57,El Dorado Community Service Center,NARCOTICS,NARCOTICS,24625 Arch Street,Newhall,LOS ANGELES,CA,91321,200,34.3845683,-118.528953,(661) 288-2644,,"24625 Arch Street, Newhall, LOS ANGELES COUNTY, CA, 91321"
58,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,1926 West Beverly Boulevard,Los Angeles,LOS ANGELES,CA,90057,30,34.06582096,-118.2684981,(213) 353-1140,,"1926 West Beverly Boulevard, Los Angeles, LOS ANGELES COUNTY, CA, 90057"
59,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,14332 Victory Boulevard,Van Nuys,LOS ANGELES,CA,91401,275,34.18664551,-118.4455755,(818) 989-1996,,"14332 Victory Boulevard, Van Nuys, LOS ANGELES COUNTY, CA, 91401"
60,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,4838 Laurel Canyon Boulevard,North Hollywood,LOS ANGELES,CA,91607,275,34.158789,-118.3964625,(818) 506-4455,,"4838 Laurel Canyon Boulevard, North Hollywood, LOS ANGELES COUNTY, CA, 91607"
61,American Health Services LLC,NARCOTICS,NARCOTICS,5015 Pico Boulevard,Los Angeles,LOS ANGELES,CA,90019,150,34.04781483,-118.3463897,(323) 653-1677,,"5015 Pico Boulevard, Los Angeles, LOS ANGELES COUNTY, CA, 90019"
62,American Health Services LLC,NARCOTICS,NARCOTICS,"6265 Sepulveda Boulevard, Suite 9",Van Nuys,LOS ANGELES,CA,91411,250,34.18437645,-118.466216,(818) 779-0555,,"6265 Sepulveda Boulevard, Suite 9, Van Nuys, LOS ANGELES COUNTY, CA, 91411"
63,American Health Services LLC,NARCOTICS,NARCOTICS,717 Lincoln Boulevard,Los Angeles,LOS ANGELES,CA,90291,200,33.999363,-118.4641425,(310) 399-9883,,"717 Lincoln Boulevard, Los Angeles, LOS ANGELES COUNTY, CA, 90291"
64,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,11682 Atlantic Avenue,Lynwood,LOS ANGELES,CA,90262,300,33.91733738,-118.1889675,(310) 537-5883,,"11682 Atlantic Avenue, Lynwood, LOS ANGELES COUNTY, CA, 90262"
65,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,11682 Atlantic Avenue,Lynwood,LOS ANGELES,CA,90262,15,33.91733738,-118.1889675,(310) 537-5883,,"11682 Atlantic Avenue, Lynwood, LOS ANGELES COUNTY, CA, 90262"
66,American Health Services LLC,NARCOTICS,NARCOTICS,21505 Norwalk Boulevard,Hawaiian Gardens,LOS ANGELES,CA,90716,300,33.834006,-118.072323,(562) 916-7581,,"21505 Norwalk Boulevard, Hawaiian Gardens, LOS ANGELES COUNTY, CA, 90716"
67,American Health Services LLC,NARCOTICS,NARCOTICS,"2720 East Palmdale Boulevard, Suites 129, 130 & 131",Palmdale,LOS ANGELES,CA,93550,215,34.58016516,-118.0800714,(661) 947-3333,,"2720 East Palmdale Boulevard, Suites 129, 130 & 131, Palmdale, LOS ANGELES COUNTY, CA, 93550"
68,"Tarzana Treatment Center, Inc.",NARCOTICS,NARCOTICS,18646 Oxnard Street,Tarzana,LOS ANGELES,CA,91356,335,34.17993611,-118.5397505,(818) 996-1051,,"18646 Oxnard Street, Tarzana, LOS ANGELES COUNTY, CA, 91356"
69,"Narcotic Addiction Treatment Agency, Inc.",NARCOTICS,NARCOTICS,8741 Laurel Canyon Boulevard,Sun Valley,LOS ANGELES,CA,91352,200,34.22836358,-118.3999266,(818) 768-5525,,"8741 Laurel Canyon Boulevard, Sun Valley, LOS ANGELES COUNTY, CA, 91352"
70,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,1825 E. Thelborn Street,West Covina,LOS ANGELES,CA,91791,195,34.07732149,-117.9068625,(626) 915-3844,,"1825 E. Thelborn Street, West Covina, LOS ANGELES COUNTY, CA, 91791"
71,El Dorado  Community Service Center,NARCOTICS,NARCOTICS,"5200 San Gabriel Place, Suites B & C",Pico Rivera,LOS ANGELES,CA,90660,300,33.99841846,-118.0840198,(562) 222-1331,,"5200 San Gabriel Place, Suites B & C, Pico Rivera, LOS ANGELES COUNTY, CA, 90660"
72,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,1050 N. Garey Avenue,Pomona,LOS ANGELES,CA,91767,200,34.06842,-117.7517205,(909) 623-6391,,"1050 N. Garey Avenue, Pomona, LOS ANGELES COUNTY, CA, 91767"
73,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,1322 N. Avalon Boulevard,Wilmington,LOS ANGELES,CA,90744,275,33.78949357,-118.2631662,(310) 513-1300,,"1322 N. Avalon Boulevard, Wilmington, LOS ANGELES COUNTY, CA, 90744"
74,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,"614 West Manchester Boulevard, Suite 104",Inglewood,LOS ANGELES,CA,90301,170,33.96152948,-118.367262,(310) 412-0879,,"614 West Manchester Boulevard, Suite 104, Inglewood, LOS ANGELES COUNTY, CA, 90301"
75,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,11041 E. Valley Boulevard,El Monte,LOS ANGELES,CA,91731,150,34.074468,-118.033767,(626) 442-4177,,"11041 E. Valley Boulevard, El Monte, LOS ANGELES COUNTY, CA, 91731"
76,"Addiction Research and Treatment, Inc",NARCOTICS,NARCOTICS,1701 Zonal  Avenue,Los Angeles,LOS ANGELES,CA,90033,350,34.06188839,-118.2103116,(323) 223-6298,,"1701 Zonal  Avenue, Los Angeles, LOS ANGELES COUNTY, CA, 90033"
77,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,"1450 North Lake Avenue, Suite 150",Pasadena,LOS ANGELES,CA,91104,170,34.17105703,-118.132131,(626) 794-1161,,"1450 North Lake Avenue, Suite 150, Pasadena, LOS ANGELES COUNTY, CA, 91104"
78,"BAART Behavioral Health Services, Inc.",NARCOTICS,NARCOTICS,1701 Zonal Avenue,Los Angeles,LOS ANGELES,CA,90033,25,34.06188839,-118.2103116,(323) 223-6298,,"1701 Zonal Avenue, Los Angeles, LOS ANGELES COUNTY, CA, 90033"
79,"ALT Recovery Group 2, LLC",NARCOTICS,NARCOTICS,"20946 Devonshire Street, Suite 100",Chatsworth,LOS ANGELES,CA,91311,150,34.256952,-118.5905385,(818) 626-8053,,"20946 Devonshire Street, Suite 100, Chatsworth, LOS ANGELES COUNTY, CA, 91311"
80,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,14240 and 14238 East Imperial Highway,La Mirada,LOS ANGELES,CA,90638,195,33.91701859,-118.0283585,(562) 946-1587,,"14240 and 14238 East Imperial Highway, La Mirada, LOS ANGELES COUNTY, CA, 90638"
81,"Hollywood Medical Rehabilitation Care, Inc.",NARCOTICS,NARCOTICS,5232 W. Sunset Blvd.,Los Angeles,LOS ANGELES,CA,90027,50,34.09805509,-118.3040481,(323) 660-0900,,"5232 W. Sunset Blvd., Los Angeles, LOS ANGELES COUNTY, CA, 90027"
82,Marin Treatment Center,NARCOTICS,NARCOTICS,1466 Lincoln Avenue,San Rafael,MARIN,CA,94901,350,37.97998229,-122.5220768,(415) 457-3755,,"1466 Lincoln Avenue, San Rafael, MARIN COUNTY, CA, 94901"
83,"Addiction Research and Treatment, Inc.",NARCOTICS,NARCOTICS,"11900 Avalon Boulevard, Suite 200 and 201",Los Angeles,LOS ANGELES,CA,90061,250,33.924501,-118.264851,(323) 242-0500,,"11900 Avalon Boulevard, Suite 200 and 201, Los Angeles, LOS ANGELES COUNTY, CA, 90061"
84,"Tarzana Treatment Center, Inc.",NARCOTICS,NARCOTICS,320 East Palmdale Boulevard,Palmdale,LOS ANGELES,CA,93550,100,34.578864,-118.123956,(818) 996-1051,,"320 East Palmdale Boulevard, Palmdale, LOS ANGELES COUNTY, CA, 93550"
85,New Life Health Authority,NARCOTICS,NARCOTICS,280 E. Standley Street,Ukiah,MENDOCINO,CA,95482,230,39.15104125,-123.2054733,(707) 466-0001,,"280 E. Standley Street, Ukiah, MENDOCINO COUNTY, CA, 95482"
86,Valley Health Associates,NARCOTICS,NARCOTICS,"427 Pajaro Street, Suite 4",Salinas,MONTEREY,CA,93901,130,36.67129968,-121.6519558,(831) 424-6655,,"427 Pajaro Street, Suite 4, Salinas, MONTEREY COUNTY, CA, 93901"
87,Community Human Services ,NARCOTICS,NARCOTICS,1083 South Main Street,Salinas,MONTEREY,CA,93901,285,36.660267,-121.657059,(831) 424-4828,,"1083 South Main Street, Salinas, MONTEREY COUNTY, CA, 93901"
88,"California Treatment Services, LLC",NARCOTICS,NARCOTICS/NON-DETOX,2101 East 1st Street,Santa Ana,ORANGE,CA,92705,705,33.74580291,-117.8370211,(714) 542-3581,,"2101 East 1st Street, Santa Ana, ORANGE COUNTY, CA, 92705"
89,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,10751 Dale Avenue,Stanton,ORANGE,CA,90680,500,33.80631544,-117.9845508,(714) 821-5311,,"10751 Dale Avenue, Stanton, ORANGE COUNTY, CA, 90680"
90,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,218 East Commonwealth Avenue,Fullerton,ORANGE,CA,92832,500,33.87035616,-117.9211432,(714) 992-4770,,"218 East Commonwealth Avenue, Fullerton, ORANGE COUNTY, CA, 92832"
91,CLARE | MATRIX,NARCOTICS,NARCOTICS,"5220 West Washington Boulevard, Suites 101, 104, 200, 203, 206 - 208",Los Angeles,LOS ANGELES,CA,90016,400,34.041276,-118.3547205,(323) 933-9186,,"5220 West Washington Boulevard, Suites 101, 104, 200, 203, 206 - 208, Los Angeles, LOS ANGELES COUNTY, CA, 90016"
92,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,"275 Victoria Street, Suite 1H",Costa Mesa,ORANGE,CA,92627,250,33.6526045,-117.910737,(949) 629-2860,,"275 Victoria Street, Suite 1H, Costa Mesa, ORANGE COUNTY, CA, 92627"
93,Western Pacific RE-HAB,NARCOTICS,NARCOTICS,218 East Commonwealth Avenue,Fullerton,ORANGE,CA,92832,75,33.87035616,-117.9211432,(714) 992-4770,,"218 East Commonwealth Avenue, Fullerton, ORANGE COUNTY, CA, 92832"
94,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,"6390 Runnymeade Drive, Suite B",Placerville,EL DORADO,CA,95667,125,38.70430198,-120.8556344,(530) 291-5345,,"6390 Runnymeade Drive, Suite B, Placerville, EL DORADO COUNTY, CA, 95667"
95,Western Pacific Med-Corp.,NARCOTICS,NARCOTICS,"26921 Crown Valley Parkway, Suite 200",Mission Viejo,ORANGE,CA,92691,350,33.563313,-117.6676965,(949) 334-8288,,"26921 Crown Valley Parkway, Suite 200, Mission Viejo, ORANGE COUNTY, CA, 92691"
96,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,"1133 Coloma Way, Suites A, B, & C",Roseville,PLACER,CA,95661,775,38.73639815,-121.2735027,(916) 774-6647,,"1133 Coloma Way, Suites A, B, & C, Roseville, PLACER COUNTY, CA, 95661"
97,"WCHS, Inc.",NARCOTICS,NARCOTICS,1021 West La Cadena,Riverside,RIVERSIDE,CA,92501,580,34.00418624,-117.3504581,(951) 784-8010,,"1021 West La Cadena, Riverside, RIVERSIDE COUNTY, CA, 92501"
98,"Aegis Treatment Centers, LLC",NARCOTICS,NARCOTICS,"1343 W. Main Street, Suites A & B and 1349 W. Main Street",Merced,MERCED,CA,95340,430,37.30620431,-120.4962364,(209) 725-1060,,"1343 W. Main Street, Suites A & B and 1349 W. Main Street, Merced, MERCED COUNTY, CA, 95340"
99,"Evexia Health Services, LLC",NARCOTICS,NARCOTICS,601 E. Florida Avenue,Hemet,RIVERSIDE,CA,92543,385,33.747282,-116.9660385,(951) 391-1470,,"601 E. Florida Avenue, Hemet, RIVERSIDE COUNTY, CA, 92543"
100,Coachella Valley Treatment Center,NARCOTICS,NARCOTICS,"81709 Doctor Carreon Blvd., Suite B-1",Indio,RIVERSIDE,CA,92201,100,33.70730314,-116.239857,(818)853-4539,,"81709 Doctor Carreon Blvd., Suite B-1, Indio, RIVERSIDE COUNTY, CA, 92201"
101,"Evexia Health Services, LLC",NARCOTICS,NARCOTICS,109 E 111th St,Corona,RIVERSIDE,CA,92879,200,33.8710651,-117.5607425,(951) 427-3482,,"109 E 111th St, Corona, RIVERSIDE COUNTY, CA, 92879"
